Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0907972,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-27,COTERRA ENERGY OPERATING CO.,9H,11000,2025-05-21,2025-07-29,31.9532981,-104.1998431,31.9246299,-104.1966184
0901663,109,CULBERSON,MACBETH 22-27 N,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,15H,15000,2024-08-02,2024-10-04,31.9529225,-104.1515174,31.9245233,-104.1466327
0907775,109,CULBERSON,TOMY LEE 20-29 C,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,3H,9992,2025-05-08,2025-06-16,31.9540666,-104.1866627,31.9245476,-104.1909322
0913185,173,GLASSCOCK,PICKLE RICK C,10,101577,2026-08-05,"CIVITAS PERMIAN OPERATING, LLC",303HD,10200,2026-02-10,2026-03-15,31.6945976,-101.6418085,31.7220694,-101.6493601
0913186,173,GLASSCOCK,PICKLE RICK D,10,101577,2026-08-05,"CIVITAS PERMIAN OPERATING, LLC",304HD,10200,2026-02-10,2026-03-14,31.6945316,-101.6417875,31.7209954,-101.65415
0905958,383,REAGAN,DRIVER C W10C,09,665748,2026-07-30,"PIONEER NATURAL RES. USA, INC.",3H,10550,2025-03-17,2025-04-17,31.5636173,-101.7419836,31.605481,-101.7569691
0905960,383,REAGAN,DRIVER C W10E,09,665748,2026-07-07,"PIONEER NATURAL RES. USA, INC.",5H,10550,2025-03-17,2025-04-18,31.5636456,-101.7418594,31.605785,-101.7556185
0908737,461,UPTON,NOELIA B4,09,166150,2026-08-27,COG OPERATING LLC,9003BH,9222,2025-08-19,2025-10-11,31.3907731,-102.0895803,31.4345451,-102.1010676
0909293,461,UPTON,ELIZABETH 1201 G,09,101413,2026-08-26,FIREBIRD ENERGY II LLC,402H,9200,2025-07-17,2025-08-30,31.5532161,-102.2325877,31.5831532,-102.2410048
0910591,479,WEBB,PILONCILLO,04,101300,2026-08-24,"TBM CATARINA, LLC",E 11XZ,8975,2025-09-29,2025-10-07,28.1746344,-99.5963452,28.15055,-99.5697
