Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0918187,013,ATASCOSA,LEVIATHAN A,01,253162,2026-08-26,"EOG RESOURCES, INC.",1H,11000,2026-09-01,,28.9149682,-98.2223774,28.8764043,-98.16925,False
0918188,013,ATASCOSA,LEVIATHAN B,01,253162,2026-08-26,"EOG RESOURCES, INC.",2H,11000,2026-09-01,,28.9149191,-98.2224406,28.8739018,-98.1774997,False
0918189,013,ATASCOSA,LEVIATHAN C,01,253162,2026-08-26,"EOG RESOURCES, INC.",3H,11000,2026-09-01,,28.9148703,-98.2225042,28.8625894,-98.1709196,False
0918190,013,ATASCOSA,LEVIATHAN D,01,253162,2026-08-26,"EOG RESOURCES, INC.",4H,11000,2026-09-01,,28.9148216,-98.2225675,28.8612003,-98.1737236,False
0918191,013,ATASCOSA,LEVIATHAN E,01,253162,2026-08-26,"EOG RESOURCES, INC.",5H,11000,2026-09-01,,28.9147726,-98.2226312,28.8705124,-98.1867236,False
0918192,013,ATASCOSA,LEVIATHAN F,01,253162,2026-08-26,"EOG RESOURCES, INC.",6H,11000,2026-09-01,,28.9147236,-98.2226947,28.8647954,-98.1855653,False
0918204,033,BORDEN,VERDEL 42-54 B UNIT,11,385826,2026-08-26,"HIGHPEAK ENERGY HOLDINGS, LLC",A 6H,7500,2026-09-01,,32.5248619,-101.2315806,32.5624986,-101.2275691,False
0918208,033,BORDEN,VERDEL 42-54 B UNIT,11,385826,2026-08-26,"HIGHPEAK ENERGY HOLDINGS, LLC",L 5H,7500,2026-09-01,,32.5248646,-101.2316616,32.5625341,-101.2289968,False
0918209,033,BORDEN,VERDEL 42-54 B UNIT,11,385826,2026-08-26,"HIGHPEAK ENERGY HOLDINGS, LLC",L 6H,7500,2026-09-01,,32.5248592,-101.2314995,32.5624631,-101.2261414,False
0916727,059,CALLAHAN,"STACY, F.W.",08,103735,2026-06-25,"COTULA OIL & GAS CO., INC.",11,1000,2026-09-02,,32.0873058,-99.2214277,32.0873058,-99.2214277,True
0917930,085,COLLIN,ATMOS D9,05,036599,2026-08-17,ATMOS PIPELINE - TEXAS,1,550,2026-09-02,,33.2909727,-96.8035327,33.2909727,-96.8035327,False
0918200,103,CRANE,"TUBB, J. B. -A-",10,712382,2026-08-26,"RING ENERGY, INC.",2021MH,3600,2026-09-01,,31.450905,-102.617348,31.422359,-102.6075451,False
0918202,103,CRANE,"TUBB, J. B. -A-",10,712382,2026-08-26,"RING ENERGY, INC.",2022JH,3000,2026-09-01,,31.450862,-102.617533,31.4220591,-102.6088302,False
0918205,103,CRANE,"TUBB, J. B. -A-",10,712382,2026-08-26,"RING ENERGY, INC.",2023TH,4700,2026-09-01,,31.450883,-102.617441,31.4220591,-102.6088302,False
0918210,103,CRANE,"TUBB, J. B. -A-",10,712382,2026-08-26,"RING ENERGY, INC.",2024SH,3900,2026-09-01,,31.45084,-102.617626,31.4220591,-102.6088302,False
0918230,115,DAWSON,SINJ 3 SWD,11,100744,2026-08-27,"STONEHILL DAWSON, LLC",1,6500,2026-09-01,,32.6075072,-101.9704572,32.6075072,-101.9704572,True
0918231,115,DAWSON,SINJ 3 SWD,11,100744,2026-08-27,"STONEHILL DAWSON, LLC",2,6500,2026-09-01,,32.601917,-101.9689576,32.601917,-101.9689576,True
0917983,161,FREESTONE,HEGWARD STEBBINS,05,170038,2026-08-18,"COMSTOCK OIL & GAS, LLC",1H,30000,2026-09-02,,31.6127481,-95.90769,31.6290836,-95.9294296,False
0918262,165,GAINES,GRANGER,11,617544,2026-08-28,OCCIDENTAL PERMIAN LTD.,501GH,5900,2026-09-02,,32.917925,-102.840675,32.9475111,-102.8430083,False
0918261,165,GAINES,TONKS,11,617544,2026-08-28,OCCIDENTAL PERMIAN LTD.,502GH,5900,2026-09-02,,32.9180222,-102.840675,32.9475194,-102.8387111,False
0917632,173,GLASSCOCK,OMAHA EAST J 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6210H,10605,2026-09-02,,31.857647,-101.7221651,31.827786,-101.7148215,True
0917634,173,GLASSCOCK,OMAHA EAST L 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6212H,10605,2026-09-02,,31.857666,-101.7220881,31.828447,-101.7120966,True
0917635,173,GLASSCOCK,OMAHA EAST O 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6215H,10605,2026-09-02,,31.857685,-101.7220101,31.829108,-101.7093707,True
0917637,173,GLASSCOCK,OMAHA WEST D 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6204H,10605,2026-09-02,,31.855691,-101.7299939,31.826462,-101.7202824,True
0917638,173,GLASSCOCK,OMAHA WEST G 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6207H,10605,2026-09-02,,31.85571,-101.7299159,31.827123,-101.7175565,True
0917961,177,GONZALES,BARNHART (EF),01,104514,2026-08-18,ENSIGN NATURAL RESOURCES II LLC,7H,5000,2026-09-01,,29.3154944,-97.4923528,29.3154944,-97.4923528,False
0917931,177,GONZALES,CANNONADE SA A,01,103899,2026-08-17,"FW EAGLE FORD I, LLC",1H,14500,2026-09-01,,29.4553528,-97.3688667,29.43336,-97.336226,False
0917933,177,GONZALES,CANNONADE SA C,01,103899,2026-08-17,"FW EAGLE FORD I, LLC",3UH,14500,2026-09-01,,29.455281,-97.368912,29.454996,-97.376977,False
0918219,207,HASKELL,WHALEN,08,427768,2026-08-26,"JQL ENERGY, LLC",4,3000,2026-09-02,,33.0299323,-99.9394051,33.0299323,-99.9394051,True
0918217,227,HOWARD,PALPATINE A 46-03,10,760725,2026-08-26,"SURGE OPERATING, LLC",1DH,9000,2026-09-02,,32.13447,-101.499351,32.105221,-101.491848,False
0918168,235,IRION,CAMRYN D,09,101969,2026-08-25,"HIBERNIA RESOURCES IV, LLC",4H,9000,2026-09-01,,31.5222385,-100.7328863,31.4889368,-100.7332757,False
0918182,235,IRION,CAMRYN E,09,101969,2026-08-25,"HIBERNIA RESOURCES IV, LLC",5H,9000,2026-09-01,,31.5222388,-100.7328221,31.488914,-100.7288136,False
0918206,255,KARNES,RUPPERT A,02,216378,2026-08-26,"DEVON ENERGY PRODUCTION CO, L.P.",16H,14000,2026-09-02,,29.088006,-97.6846704,29.0622018,-97.6751806,False
0918214,255,KARNES,RUPPERT A,02,216378,2026-08-26,"DEVON ENERGY PRODUCTION CO, L.P.",17H,14000,2026-09-02,,29.0880456,-97.6846064,29.0629545,-97.6745263,False
0918216,255,KARNES,RUPPERT A,02,216378,2026-08-26,"DEVON ENERGY PRODUCTION CO, L.P.",18H,14000,2026-09-02,,29.0880852,-97.6845424,29.0659044,-97.6738085,False
