Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0916843,055,CALDWELL,YOUNG-CLARK UNIT,01,348557,2026-08-28,"HAMILTON, CLAY",1H,2400,2026-07-07,2026-07-05,29.8162588,-97.6182742,29.8114294,-97.6220969
0917752,135,ECTOR,ASHLEY G,10,101413,2026-08-26,FIREBIRD ENERGY II LLC,804H,12000,2026-08-14,,31.8859374,-102.5066128,31.8426076,-102.4937917
0917751,135,ECTOR,ASHLEY G 1,10,101413,2026-08-26,FIREBIRD ENERGY II LLC,801H,12000,2026-08-14,,31.8859201,-102.5066761,31.8556728,-102.502601
0917434,389,REEVES,CAYENNE WA,10,104430,2026-08-16,PERUN ENERGY LLC,2H,11000,2026-07-28,2026-08-01,31.083298,-103.542981,31.118848,-103.533932
