Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0905421,033,BORDEN,WINSTEP 31-9 B UNIT,11,385826,2026-09-01,"HIGHPEAK ENERGY HOLDINGS, LLC",L 5H,7500,2025-01-23,,32.5248701,-101.2318237,32.4819955,-101.2335562
0916420,203,HARRISON,WOODS 1 (AW),06,704776,2026-07-30,"RFE OPERATING, LLC",1H,10800,2026-06-16,2026-07-01,32.524861,-94.601007,32.4976307,-94.5972353
0916422,203,HARRISON,WOODS 11 (AW),06,704776,2026-07-31,"RFE OPERATING, LLC",11H,12100,2026-06-18,2026-06-29,32.524813,-94.600973,32.4973503,-94.5969916
0916520,315,MARION,TRASH PANDAS (AW),06,704776,2026-08-31,"RFE OPERATING, LLC",1H,9700,2026-06-22,2025-07-26,32.752926,-94.218348,32.773167,-94.224928
0860957,389,REEVES,BALMORHEA STATE 32-15 'A',10,611665,2026-08-13,NOBLE ENERGY INC,1H,10550,2020-01-24,2013-01-23,31.359102,-103.515247,,
0913990,389,REEVES,TYCOON CA,10,875462,2026-08-26,U.S. ENERGY DEVELOPMENT CORP,1SH,10900,2026-03-20,,31.3871792,-103.3879081,31.3525753,-103.3994693
0914264,401,RUSK,MUSTANG SOUTH (AW),06,704776,2026-08-26,"RFE OPERATING, LLC",1H,11300,2026-03-26,2026-05-13,32.264512,-94.933416,32.234589,-94.933831
0915990,405,SAN AUGUSTINE,KINGSLEY A GAS UNIT,06,103154,2026-07-28,"APEX NATURAL GAS, LLC",1H,16500,2026-06-04,,31.2791988,-94.2471791,31.245564,-94.264684
0915989,405,SAN AUGUSTINE,KINGSLEY B GAS UNIT,06,103154,2026-07-28,"APEX NATURAL GAS, LLC",1HB,16500,2026-06-04,,31.279137,-94.247213,31.245459,-94.2641241
