Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0917752,135,ECTOR,ASHLEY G,10,101413,2026-08-26,FIREBIRD ENERGY II LLC,804H,12000,2026-08-14,2026-08-30,31.8859374,-102.5066128,31.8426076,-102.4937917
0917751,135,ECTOR,ASHLEY G 1,10,101413,2026-08-26,FIREBIRD ENERGY II LLC,801H,12000,2026-08-14,2026-08-29,31.8859201,-102.5066761,31.8556728,-102.502601
