Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0917530,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-07-30,OXY USA INC.,3510R,6000,2026-08-03,2026-08-23,32.7704372,-102.6858751,32.7640001,-102.6844562
0917531,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-07-30,OXY USA INC.,3517R,6000,2026-08-03,2026-08-24,32.7703411,-102.6858789,32.7615917,-102.6865131
0917276,401,RUSK,PAT GRATTON GAS UNIT B,06,102367,2026-08-13,BUCKHORN OPERATING LLC,2H,10500,2026-07-23,2026-08-02,,,,
0917639,445,TERRY,SUNTURA (LOWER CLEAR FORK) UNIT,11,054430,2026-08-04,"BASIN OIL & GAS OPERATING, LLC",704,8400,2026-08-06,2026-08-20,,,,
