Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0918387,055,CALDWELL,JOHNSON,01,104643,2026-09-02,"EXCEL OPERATING, LLC",1A,2600,2026-09-03,,29.7134393,-97.6776678,29.7134393,-97.6776678,True
0918299,103,CRANE,DAVY JONES N,10,073056,2026-08-31,"BLACKBEARD OPERATING, LLC",4,6420,2026-09-03,,31.5233667,-102.7298389,31.5233667,-102.7298389,False
0918298,103,CRANE,DAVY JONES N,10,073056,2026-08-31,"BLACKBEARD OPERATING, LLC",5,6424,2026-09-03,,31.5243194,-102.7257417,31.5243194,-102.7257417,False
0918301,135,ECTOR,"FOSTER, H. C.",10,482327,2026-08-31,LAGUNA PETROLEUM CORPORATION,10,4450,2026-09-03,,31.8187861,-102.4279611,31.8187861,-102.4279611,True
0918303,135,ECTOR,"FOSTER, H. C.",10,482327,2026-08-31,LAGUNA PETROLEUM CORPORATION,16,4450,2026-09-03,,31.8144982,-102.4310116,31.8144982,-102.4310116,True
0918289,165,GAINES,CARA,11,103194,2026-08-30,"ACTIVE IRON ENERGY, LLC",1,14500,2026-09-03,,32.6833556,-102.5707361,32.6833556,-102.5707361,True
0917636,173,GLASSCOCK,OMAHA WEST B 39-46,10,102606,2026-08-04,"DE V OPERATING, LLC",6202H,10605,2026-09-03,,31.855672,-101.7300709,31.8258,-101.7230074,False
0918133,207,HASKELL,PACE,08,923283,2026-08-24,WILCOX PETROLEUM OPERATING LLC.,2,5600,2026-09-03,,33.1589,-99.7816,33.1589,-99.7816,False
0918203,215,HIDALGO,EDINBURG UNIT,04,732075,2026-08-26,"ROYAL PRODUCTION COMPANY, INC.",10,10650,2026-09-03,,26.2804788,-98.1881019,26.280338,-98.1878778,False
0918272,227,HOWARD,JAZ,10,687139,2026-08-28,"R.D.S. RANCH-WATER SVS, INC.",1,1900,2026-09-03,,32.2714177,-101.6853087,32.2714177,-101.6853087,True
0917669,329,MIDLAND,RUTTER 1-12 C,10,217012,2026-08-05,DIAMONDBACK E&P LLC,1JM,12500,2026-09-03,,32.035248,-101.846737,32.010175,-101.8404639,False
0917670,329,MIDLAND,RUTTER 1-12 C,10,217012,2026-08-05,DIAMONDBACK E&P LLC,1WA,12500,2026-09-03,,32.035314,-101.846758,32.010175,-101.8404639,False
0917699,329,MIDLAND,RUTTER 1-12 D,10,217012,2026-08-06,DIAMONDBACK E&P LLC,2LS,12500,2026-09-03,,32.0350083,-101.8493194,32.0098583,-101.8418333,False
0917703,329,MIDLAND,RUTTER 1-12 D,10,217012,2026-08-06,DIAMONDBACK E&P LLC,2WB,12500,2026-09-03,,32.0349417,-101.8493,32.0098583,-101.8418333,False
0917707,329,MIDLAND,RUTTER 1-12 E,10,217012,2026-08-06,DIAMONDBACK E&P LLC,2JM,12500,2026-09-03,,32.0347417,-101.8492361,32.0095389,-101.8432444,False
0917709,329,MIDLAND,RUTTER 1-12 E,10,217012,2026-08-06,DIAMONDBACK E&P LLC,2WA,12500,2026-09-03,,32.0348083,-101.8492583,32.0095389,-101.8432028,False
0918151,383,REAGAN,NORTH CREEK F,09,220855,2026-08-24,DISCOVERY NATURAL RESOURCES LLC,0402MB,8500,2026-09-03,,31.4176556,-101.3562861,31.3771474,-101.3517915,False
0918152,383,REAGAN,NORTH CREEK G,09,220855,2026-08-24,DISCOVERY NATURAL RESOURCES LLC,0404MB,8500,2026-09-03,,31.4176806,-101.3562111,31.3771723,-101.3475104,False
0918233,389,REEVES,MUFASA STATE,10,875462,2026-08-27,U.S. ENERGY DEVELOPMENT CORP,2BU,13000,2026-09-03,,31.2568756,-103.3130184,31.2584027,-103.3191373,False
0918241,389,REEVES,MUFASA STATE,10,875462,2026-08-28,U.S. ENERGY DEVELOPMENT CORP,4BU,13000,2026-09-03,,31.2568758,-103.3128905,31.2584436,-103.3071756,False
