Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0907829,003,ANDREWS,FEE 'CG' SWD,10,263696,2026-08-31,"FASKEN OIL AND RANCH, LTD.",1,8500,2025-05-08,2025-09-11,32.263054,-102.3462959,32.263054,-102.3462959
0916003,405,SAN AUGUSTINE,KINGSLEY A GAS UNIT,06,103154,2026-07-28,"APEX NATURAL GAS, LLC",2HB,16500,2026-06-04,,31.2788183,-94.2471405,31.246489,-94.267476
0916004,405,SAN AUGUSTINE,KINGSLEY A GAS UNIT,06,103154,2026-07-28,"APEX NATURAL GAS, LLC",3H,16500,2026-06-04,,31.2788803,-94.2471061,31.246647,-94.26783
