Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0915925,173,GLASSCOCK,POWELL 1035SP,10,630591,2026-07-28,OXY USA INC.,8H,12000,2026-05-29,,,,,
0915927,173,GLASSCOCK,POWELL 1043DP,10,630591,2026-07-28,OXY USA INC.,7H,12000,2026-05-29,,,,,
0915919,173,GLASSCOCK,POWELL 1091OP,10,630591,2026-07-28,OXY USA INC.,1H,12000,2026-05-29,,,,,
0915920,173,GLASSCOCK,POWELL 1093OP,10,630591,2026-07-28,OXY USA INC.,4H,12000,2026-05-29,,,,,
0915924,173,GLASSCOCK,POWELL 1097OP,10,630591,2026-07-28,OXY USA INC.,9H,12000,2026-05-29,,,,,
0904552,177,GONZALES,CHERRY BERGEY SA1,01,525398,2026-07-20,MARATHON OIL EF LLC,1H,17039,2024-12-13,,,,,
0915107,203,HARRISON,GEORGE-MATTHEWS B,06,810277,2026-07-27,"SPONTE OPERATING, INC.",2H,11500,2026-04-30,,,,,
0915109,203,HARRISON,GEORGE-MATTHEWS C,06,810277,2026-07-27,"SPONTE OPERATING, INC.",3H,11500,2026-04-30,,,,,
0915157,203,HARRISON,GEORGE-MATTHEWS D,06,810277,2026-07-27,"SPONTE OPERATING, INC.",4H,11500,2026-04-30,,,,,
0909782,301,LOVING,BOLD JOHNSON 56-T1-42 2H,10,085408,2026-07-24,BPX OPERATING COMPANY,B218H,12500,2025-08-26,2025-11-19,,,,
0829890,329,MIDLAND,MIDLAND 'AC/AF' FEE B,10,148113,2026-06-25,CHEVRON U. S. A. INC.,0163LS,9600,2017-08-18,2017-12-04,,,,
0914269,389,REEVES,TYCOON UC,10,875462,2026-07-22,U.S. ENERGY DEVELOPMENT CORP,3XU,10900,2026-03-31,,,,,
0911591,461,UPTON,BRADEN SWD,09,884481,2026-07-28,"VELOCITY WATER SOLUTIONS, LP",1,5215,2025-11-07,2026-01-01,,,,
0903017,475,WARD,UL 18 33-32B,10,027200,2026-03-03,APACHE CORPORATION,4AH,16000,2024-10-08,2024-12-10,,,,
0903019,475,WARD,UL 18 33-32D,10,027200,2026-03-03,APACHE CORPORATION,2AH,16000,2024-10-08,2024-12-06,,,,
