Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0914208,285,LAVACA,GIBSON UNIT,02,253162,2026-06-05,"EOG RESOURCES, INC.",1H,14000,2026-03-20,2026-03-30,,,,
0914889,317,MAVERICK,AUTRY 32-8 E,10,217012,2026-05-07,DIAMONDBACK E&P LLC,4WA,9750,2026-04-21,2026-05-09,,,,
0916198,329,MIDLAND,TURNER E41H,10,665748,2026-06-03,"PIONEER NATURAL RES. USA, INC.",8H,10317,2026-07-02,2026-07-29,,,,
0917057,479,WEBB,STANLEY RANCH,04,100351,2026-07-08,JAVELIN ENERGY PARTNERS MGMT LLC,104HA,12000,2026-07-16,2026-07-28,,,,
0917312,495,WINKLER,LEACO 5 SWD,10,945931,2026-07-20,"XRI DISPOSAL HOLDINGS, LLC",1,7500,2026-07-27,2026-07-28,,,,
