Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917044,003,ANDREWS,UL CHATFIELD 36E,10,628658,2026-07-08,OVINTIV USA INC.,101HF,10500,2026-08-18,,32.4356972,-102.2953583,32.4748222,-102.31245,False
0917046,003,ANDREWS,UL CHATFIELD 36E,10,628658,2026-07-08,OVINTIV USA INC.,102HD,10500,2026-08-18,,32.4357139,-102.2952806,32.4751917,-102.3108361,False
0917878,003,ANDREWS,"LOGSDON, ETAL -B-",10,849735,2026-08-13,"TEXLAND PETROLEUM, L.P.",22,7569,2026-08-18,,32.4793305,-102.8493556,32.4793305,-102.8493556,False
0917957,033,BORDEN,MCDOWELL,11,385826,2026-08-18,"HIGHPEAK ENERGY HOLDINGS, LLC",1,8530,2026-08-18,,32.658271,-101.2693571,32.658271,-101.2693571,False
0917960,033,BORDEN,W. D. EVERETT,11,385826,2026-08-18,"HIGHPEAK ENERGY HOLDINGS, LLC",1,8482,2026-08-18,,32.6759858,-101.2681041,32.6759858,-101.2681041,False
0917809,115,DAWSON,OVERTON B UNIT,11,104003,2026-08-11,"LAGUNA TEXAS RESOURCES, LLC",L 6H,8600,2026-08-18,,32.6486194,-101.9524361,32.615075,-101.9399861,False
0917892,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-13,OXY USA INC.,1004,5800,2026-08-18,,32.7855944,-102.727825,32.7843278,-102.7291944,False
0917806,211,HEMPHILL,JONES TRUST 21/22 A,14,562560,2026-08-11,MEWBOURNE OIL COMPANY,C001JO,9482,2026-08-18,,35.9586081,-100.1578133,35.9376729,-100.1575045,False
0917415,227,HOWARD,WILLIE SCOTT AA,10,788997,2026-07-23,SM ENERGY COMPANY,0841WA,8000,2026-08-18,,32.1911009,-101.4450097,32.2316865,-101.4608075,False
0917423,227,HOWARD,WILLIE SCOTT AA,10,788997,2026-07-23,SM ENERGY COMPANY,0882WD,10000,2026-08-18,,32.1910484,-101.4449942,32.2302816,-101.4612613,False
0917863,255,KARNES,CHRISTINE,02,781863,2026-08-12,SILVER HILL ENERGY OPERATING LLC,4H,12500,2026-08-18,,28.9418655,-97.9521569,28.9311326,-97.9413109,False
0917864,255,KARNES,CHRISTINE,02,781863,2026-08-12,SILVER HILL ENERGY OPERATING LLC,103H,12500,2026-08-18,,28.9418015,-97.9521279,28.931138,-97.9423876,False
0917865,255,KARNES,CHRISTINE,02,781863,2026-08-12,SILVER HILL ENERGY OPERATING LLC,104H,12500,2026-08-18,,28.9419285,-97.9521869,28.9310345,-97.9401967,False
0917855,283,LA SALLE,KINSEL D HC6,01,424176,2026-08-12,INEOS USA OIL & GAS LLC,6H,8250,2026-08-18,,28.564753,-99.17911,28.539841,-99.130805,True
0917856,283,LA SALLE,KINSEL D HC7,01,424176,2026-08-12,INEOS USA OIL & GAS LLC,7H,8250,2026-08-18,,28.564812,-99.179071,28.535471,-99.133663,True
0917861,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-12,"PIONEER NATURAL RES. USA, INC.",221H,11170,2026-08-18,,,,,,False
0917208,329,MIDLAND,GEORGIA 37-32 B,10,217012,2026-07-14,DIAMONDBACK E&P LLC,2BN,13000,2026-08-18,,,,,,False
0917209,329,MIDLAND,GEORGIA 37-32 C,10,217012,2026-07-14,DIAMONDBACK E&P LLC,3BN,13000,2026-08-18,,,,,,False
0917210,329,MIDLAND,GEORGIA 37-32 D,10,217012,2026-07-14,DIAMONDBACK E&P LLC,4BN,13000,2026-08-18,,,,,,False
0917928,329,MIDLAND,RIO TRINITY 22-23 F,10,217012,2026-08-17,DIAMONDBACK E&P LLC,2WB,13000,2026-08-18,,,,,,False
0917109,329,MIDLAND,RIVERCREST 2-11 D,10,217012,2026-07-09,DIAMONDBACK E&P LLC,2LS,12500,2026-08-18,,,,,,False
0917362,357,OCHILTREE,LANCE,14,136042,2026-07-21,CARSON BUCKLES EXPLORATION LLC,2011,8500,2026-08-18,,,,,,True
0917860,383,REAGAN,BODINE E2 09,09,101136,2026-08-12,"HANNATHON PETROLEUM II, LLC",9H,10000,2026-08-18,,,,,,True
0917859,477,WASHINGTON,TRUMAN FIVE,03,521544,2026-08-12,MAGNOLIA OIL & GAS OPERATING LLC,H 05TM,12000,2026-08-18,,,,,,False
0917816,477,WASHINGTON,TRUMAN THREE,03,521544,2026-08-11,MAGNOLIA OIL & GAS OPERATING LLC,H 03TM,12000,2026-08-18,,,,,,False
0917902,479,WEBB,FASKEN STATE,04,103575,2026-08-14,"CRESCENT ENERGY OPERATING, LLC",223H,12000,2026-08-18,,,,,,True
0917903,479,WEBB,FASKEN STATE,04,103575,2026-08-14,"CRESCENT ENERGY OPERATING, LLC",224H,12000,2026-08-18,,,,,,True
0917904,479,WEBB,FASKEN STATE,04,103575,2026-08-14,"CRESCENT ENERGY OPERATING, LLC",225H,12000,2026-08-18,,,,,,True
0917812,479,WEBB,BRISCOE C,04,788997,2026-08-11,SM ENERGY COMPANY,0129H,7000,2026-08-18,,,,,,False
0917813,479,WEBB,BRISCOE C,04,788997,2026-08-11,SM ENERGY COMPANY,0139H,7000,2026-08-18,,,,,,False
0917672,487,WILBARGER,SUMNER,13,108799,2026-08-05,"BURK ROYALTY CO., LTD.",2,8900,2026-08-18,,,,,,False
