Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917348,033,BORDEN,SPHINX UNIT 13-01,11,760725,2026-07-21,"SURGE OPERATING, LLC",1NH,9000,2026-07-28,,32.579715,-101.390525,32.620914,-101.403911,False
0916401,067,CASS,PERRY,06,727892,2026-06-11,"ROSE CITY RESOURCES, LLC",1H,13000,2026-07-28,,32.9986755,-94.4026627,32.9655983,-94.4039139,False
0917384,097,COOKE,SMITH#1,13,870409,2026-07-22,"TRIPLE G WELL SERVICE, INC.",12,2000,2026-07-28,,33.5883325,-97.0987504,33.5883325,-97.0987504,True
0917336,177,GONZALES,CYCLONE X,01,103899,2026-07-21,"FW EAGLE FORD I, LLC",16H,14500,2026-07-28,,29.347239,-97.503138,29.336624,-97.475627,False
0917371,181,GRAYSON,BROOKS-SHORT,13,101705,2026-07-22,ATOKA ENERGY LLC,1,10000,2026-07-28,,33.7321348,-96.804247,33.7319187,-96.8005414,False
0917369,181,GRAYSON,HAZLIP,13,101705,2026-07-22,ATOKA ENERGY LLC,3,10000,2026-07-28,,33.7398982,-96.7981872,33.7399541,-96.7986146,False
0916692,203,HARRISON,BONNER NORTH C HS (AW),06,103925,2026-06-24,SABINE ENERGY INC.,3H,12000,2026-07-28,,,,,,False
0916695,203,HARRISON,BONNER NORTH D HS (AW),06,103925,2026-06-24,SABINE ENERGY INC.,4H,12000,2026-07-28,,,,,,False
0917247,227,HOWARD,CP #26-132 CATHODIC PROTECTION,10,252017,2026-07-16,ENERGY TRANSFER COMPANY,38,600,2026-07-28,,,,,,False
0917345,297,LIVE OAK,F MALEK L-1893-KOER SA B,02,109333,2026-07-21,BURLINGTON RESOURCES O & G CO LP,1,17500,2026-07-28,,,,,,False
0917424,317,MAVERICK,CP# 26-140 CATHODIC PROTECTION,10,252017,2026-07-24,ENERGY TRANSFER COMPANY,40,600,2026-07-28,,,,,,False
0917410,365,PANOLA,F14D MESA DS,06,102948,2026-07-23,TGNR PANOLA LLC,4HH,22000,2026-07-28,,,,,,False
0917411,365,PANOLA,F14D MESA ES,06,102948,2026-07-23,TGNR PANOLA LLC,5HH,22000,2026-07-28,,,,,,False
0917435,389,REEVES,HATCH,10,104430,2026-07-27,PERUN ENERGY LLC,1,11000,2026-07-28,,,,,,True
0917434,389,REEVES,HATCH,10,104430,2026-07-27,PERUN ENERGY LLC,2,11000,2026-07-28,,,,,,True
0917364,393,ROBERTS,COURSON RANCH 133A,14,829221,2026-07-22,SUMMIT PETROLEUM LLC,1133H,6900,2026-07-28,,,,,,False
0917388,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,306-5,7800,2026-07-28,,,,,,False
0917393,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,306-6,7800,2026-07-28,,,,,,False
0917395,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,306-7,7800,2026-07-28,,,,,,False
0917397,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,307-5,7800,2026-07-28,,,,,,False
0917398,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,307-6,7800,2026-07-28,,,,,,False
0917399,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,307-7,7800,2026-07-28,,,,,,False
0917403,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,309-9,7800,2026-07-28,,,,,,False
0917387,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,304-1A,7800,2026-07-28,,,,,,False
0917396,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,307-4A,7800,2026-07-28,,,,,,False
0917400,415,SCURRY,SACROC UNIT,11,463316,2026-07-23,KINDER MORGAN PRODUCTION CO LLC,309-1A,7800,2026-07-28,,,,,,False
0916477,497,WISE,VINSON FEE B 7 (AW),13,100345,2026-06-16,"BKV NORTH TEXAS, LLC",7H,12452,2026-07-28,,,,,,False
0917351,501,YOAKUM,BENNETT RANCH UNIT,11,617544,2026-07-21,OCCIDENTAL PERMIAN LTD.,4343,5500,2026-07-28,,,,,,False
0917341,501,YOAKUM,DENVER UNIT,11,617544,2026-07-21,OCCIDENTAL PERMIAN LTD.,3659,5300,2026-07-28,,,,,,False
