Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0916630,301,LOVING,CROSS MOUNTAIN 4045-28 WEST,10,942623,2026-08-13,"WPX ENERGY PERMIAN, LLC",313H,14000,2026-06-30,,,,,
0911233,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 5H,10000,2025-10-27,2026-01-03,,,,
0911234,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 6H,10000,2025-10-27,2026-01-05,,,,
0911235,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 7H,10000,2025-10-27,2026-01-06,,,,
0911236,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 8H,10000,2025-11-13,2026-01-07,,,,
0911237,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 9H,10000,2025-11-24,2025-12-07,,,,
0911239,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 10H,10000,2025-11-13,2025-12-09,,,,
0915808,461,UPTON,CC 4144 F,09,027200,2026-07-27,APACHE CORPORATION,9HS,10000,2026-05-26,2026-06-17,,,,
0915810,461,UPTON,CC 4144 G,09,027200,2026-07-27,APACHE CORPORATION,10HA,10000,2026-05-26,2026-06-18,,,,
0915811,461,UPTON,CC 4144 G,09,027200,2026-07-28,APACHE CORPORATION,11JM,10000,2026-05-26,2026-06-18,,,,
