Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0915052,203,HARRISON,HUNT HL,06,104093,2026-07-31,"PWEP OPERATING, LLC",1H,11950,2026-06-12,2026-08-10,32.465196,-94.581686,32.4279268,-94.5811591
0917739,253,JONES,BAUCUM,08,815108,2026-08-07,"STAR PRODUCTION, INC.",3,3500,2026-08-12,2026-08-17,32.7297245,-99.7471926,32.7297245,-99.7471926
0916990,313,MADISON,FORREST D STATE UNIT,03,100365,2026-08-12,EMPIRE TEXAS OPERATING LLC,802,9740,2026-07-10,,31.0329752,-95.6670589,,
0917522,433,STONEWALL,WOOD,08,643730,2026-07-29,"PATTON EXPLORATION, INC.",1,4600,2026-08-03,2026-08-15,33.246976,-100.0517725,33.246976,-100.0517725
