Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0915606,033,BORDEN,MAC 113-137 B UNIT,11,385826,2026-07-02,"HIGHPEAK ENERGY HOLDINGS, LLC",L 7H,6500,2026-05-19,,32.6459075,-101.2708965,32.6887876,-101.2704336
0913409,115,DAWSON,NY NY 37-1 UNIT,11,102954,2026-08-06,"PBEX-MCM OPERATING, LLC",341H,10605,2026-02-13,,32.650667,-101.94397,32.613195,-101.930611
0916589,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-10,OCCIDENTAL PERMIAN LTD.,299,6000,2026-06-23,,33.8385702,-102.0705121,33.841953,-102.0709539
0909723,203,HARRISON,OAKMONT-SAWGRASS 1 (AW),06,704776,2026-07-20,"RFE OPERATING, LLC",1H,10900,2025-08-12,,32.5193221,-94.6048156,32.4962463,-94.6051416
0909703,203,HARRISON,OAKMONT-SAWGRASS 11 (AW),06,704776,2026-07-20,"RFE OPERATING, LLC",11H,12175,2025-08-12,2025-08-16,32.5193236,-94.6047504,32.4959293,-94.6034735
0909792,203,HARRISON,OAKMONT-SAWGRASS 6 (AW),06,704776,2026-07-20,"RFE OPERATING, LLC",6H,12180,2025-08-13,,32.5193241,-94.6048783,32.4958196,-94.6067665
0915856,317,MARTIN,WRS HESPERALOE F,10,102324,2026-06-12,"OXYROCK OPERATING, LLC",1HD,12000,2026-05-27,,,,,
0916218,317,MARTIN,WRS HESPERALOE G,10,102324,2026-06-24,"OXYROCK OPERATING, LLC",2HD,12000,2026-06-23,,,,,
0906917,335,MITCHELL,RAMESSES 6-73,10,058827,2026-08-03,BAYSWATER OPERATING COMPANY LLC,H 1W,6800,2025-03-27,2025-04-12,,,,
0915829,347,NACOGDOCHES,RED GENTRY GAS UNIT,06,104338,2026-08-06,ARENOS ENERGY,2H,14500,2026-05-27,2026-06-03,,,,
0891759,371,PECOS,BLACK STONE 10-3 UNIT,10,101375,2026-08-11,"BLUE ARROW OPERATING, LLC",3TB,9990,2023-07-11,2023-08-01,,,,
0891760,371,PECOS,BLACK STONE 10-3 UNIT,10,101375,2026-08-11,"BLUE ARROW OPERATING, LLC",4SB,9780,2023-07-11,2023-08-03,,,,
0914541,451,TOM GREEN,CORAL SEA UNIT,09,586557,2026-07-13,"MORIAH OPERATING,LLC",1H,8900,2026-04-08,2026-05-30,31.624127,-100.7725864,31.6445765,-100.772084
0916758,499,WOOD,NEUHOFF (BUDA-WOODBINE) UNIT,06,577015,2026-06-30,"MONTARE OPERATING, LTD.",10ST,10000,2026-06-29,,,,,
0916760,499,WOOD,NEUHOFF (BUDA-WOODBINE) UNIT,06,577015,2026-06-30,"MONTARE OPERATING, LTD.",18ST,9760,2026-06-29,,,,,
