OBJECTID,id,ORGANIZATION_ID,ORGOP_LINE_ID,WELL_CLASS_TYPE_CODE,well,well_num,township,EFFECTIVE_DATE,api,OPERATION_TYPE_CODE,issue_date,spud,status,WELL_STATUS_DATE,ORIGINAL_COMPLETION_DATE,LAST_RECOMPLETION_DATE,LAST_TEST_DATE,ORPHANED_FLAG,PRODUCT_TYPE_CODE,CLASSIFICATION,UNIT_WELL_FLAG,EXEMPT_29E_FLAG,FIELD_ID,LEASE_NUM,MUD_DENSITY,USDW_VALUE,AREA_USDW_VALUE,SOURCE_AREA_USDW_VALUE,MAX_SIP,SIP_ASSIGNED_DATE,SOURCE_OF_SIP_VALUE,INJECTION_RATE,COMMENTS,LOCATION,section,MERIDIAN,range,PARISH_CODE,lat,lon,depth,LEGEND,DISTRICT_CODE,INSPECTION_DATE,INSPECTION_YEAR_INDEX,SECTION,INJECTION_VOLUME,LOG_REVIEWED_FLAG,ORPHAN_STATUS_CODE,ORPHAN_STATUS_DATE,field,operator,parish,SCOUT_WELL_STATUS_CODE,SCOUT_REPORT_DATE,SCOUT_MEASURED_DEPTH,SCOUT_TRUE_VERTICAL_DEPTH,LUW_CODE,LUW_TYPE_CODE,LUW_NAME,LW_REC_STATUS,SURFACE_LAMBERT_X,SURFACE_LAMBERT_Y,SURFACE_COORD_SYSTEM_CODE,SURFACE_ZONE,SURFACE_UTM83_X,SURFACE_UTM83_Y,UPPER_PERFS,LOWER_PERFS,SANDS,RESERVOIRS,FORMATIONS,HYPERLINK,GIS_UPD_DATE,status_desc,dirwell,SCOUT_DETAIL,MINERAL_INTEREST_FLAG,STATE_INTEREST_FLAG,DOC_ACCESS,STATE_ZONE,COASTAL_PERMIT_NUM,SE_ANNO_CAD_DATA,TRUE_VERTICAL_DEPTH,first_seen
3751,255841,E1152,1,,HA RA SUMM;ARK33&28&21-16-15HC,1-ALT,16N,2026-09-15 05:00:00,17017370710000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,4780,,0.0,,0.0,,,,,0.0,,"SL: 276' FSL & 1848' FEL OF SEC 33,T16N-R15W. PBHL: 440' FSL & 385' FWL OF SEC 21, T16N-R15W.",033,W,15W,09,32.327196182,-93.906421215,35000.0,-1,,,,033,,,,,JOHNSON BRANCH,EXPAND OPERATING LLC,CADDO,01,2026-09-15 05:00:00,35000.0,,,,,,1565632.0,606776.0,01,N,414687.572379768,3577064.74171038,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255841",2026-09-16 09:05:30,PERMITTED,,"SL: 276' FSL & 1848' FEL OF SEC 33,T16N-R15W. PBHL: 440' FSL & 385' FWL OF SEC 21, T16N-R15W.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255841,BAD,,,14000.0,False
3752,255842,E1152,1,,HA RA SUMM;ARK33&28&21-16-15HC,2-ALT,16N,2026-09-15 05:00:00,17017370720000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,4780,,0.0,,0.0,,,,,0.0,,"SL: 296' & 1848' FEL OF SEC 33, T16N-R15W. PBHL: 480' FSL & 1435' FWL OF SEC 21, T16N-R15W.",033,W,15W,09,32.327251189,-93.906418819,35000.0,-1,,,,033,,,,,JOHNSON BRANCH,EXPAND OPERATING LLC,CADDO,01,2026-09-15 05:00:00,35000.0,,,,,,1565633.0,606796.0,01,N,414687.849570681,3577070.83754749,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255842",2026-09-16 09:05:30,PERMITTED,,"SL: 296' & 1848' FEL OF SEC 33, T16N-R15W. PBHL: 480' FSL & 1435' FWL OF SEC 21, T16N-R15W.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255842,BAD,,,14000.0,False
3753,255843,E1152,1,,HA RA SUMM;ARK33&28&21-16-15HC,3-ALT,16N,2026-09-15 05:00:00,17017370730000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,4780,,0.0,,0.0,,,,,0.0,,"SL: 316' FSL &1848' FEL OF SEC 33, T16N-R15W. PBHL: 495'  FSL & 2490' FWL OF SEC 21, T16N-R15W.",033,W,15W,09,32.32730616,-93.906419659,35000.0,-1,,,,033,,,,,JOHNSON BRANCH,EXPAND OPERATING LLC,CADDO,01,2026-09-15 05:00:00,35000.0,,,,,,1565633.0,606816.0,01,N,414687.822038661,3577076.93200794,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255843",2026-09-16 09:05:30,PERMITTED,,"SL: 316' FSL &1848' FEL OF SEC 33, T16N-R15W. PBHL: 495'  FSL & 2490' FWL OF SEC 21, T16N-R15W.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255843,BAD,,,14000.0,False
3754,255844,E4161,1,,HA RA SU88; TALIAFERRO 28-21HC,1-ALT,17N,2026-09-15 05:00:00,17119223100000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,3608,,0.0,,0.0,,,,,0.0,,"SHL: 122' FNL & 840' FWL SEC 33, T17N-R10W. PBHL: 25' FNL & 1600' FWL SEC 21, T17N-R10W.",033,W,10W,60,32.424632515,-93.404416709,23251.0,-1,,,,033,,,,,ELM GROVE,"ENSIGHT IV ENERGY MANAGEMENT, LLC",WEBSTER,01,2026-09-15 05:00:00,23251.0,,,,,,1720983.0,640569.0,01,N,461977.643324917,3587576.53580086,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255844",2026-09-16 09:05:30,PERMITTED,,"SHL: 122' FNL & 840' FWL SEC 33, T17N-R10W. PBHL: 25' FNL & 1600' FWL SEC 21, T17N-R10W.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255844,BAD,,,12981.0,False
4271,255845,J1211,1,,HA RA SUH; LARKSPUR 2HU,1-ALT,11N,2026-09-15 05:00:00,17031276410000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,8871,,0.0,,0.0,,,,,0.0,,"SL: 126' FSL & 1228' FWL OF SEC 002, T11N-R12W. PBHL: 0' FSL & 2030' FWL OF SEC 002, T11N-R12W.",002,W,12W,16,31.962151819,-93.573112399,24500.0,-1,,,,002,,,,,TEN MILE BAYOU,"JERA UPSTREAM AMERICA, LLC",DE SOTO,01,2026-09-15 05:00:00,24500.0,,,,,,1667266.0,472809.0,01,N,445843.845483371,3536383.9023599,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255845",2026-09-16 09:05:30,PERMITTED,,"SL: 126' FSL & 1228' FWL OF SEC 002, T11N-R12W. PBHL: 0' FSL & 2030' FWL OF SEC 002, T11N-R12W.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255845,BAD,,,12100.0,False
4272,255846,B9046,1,,BLACKSTONE MINERALS,010,09S,2026-09-15 05:00:00,17047211660000,01,2026-09-15 05:00:00,,01,2026-09-15 05:00:00,,,,,00,,,,0576,,0.0,,0.0,,,,,0.0,,"SL: N71 D 07'30"" W 33785.25' FROM NGS MONS ""178 2 RESET"" FALLING IN SEC 52, T9S-R11E, IBERVILLE PARISH. PBHL: S 200' FROM SL.",052,,11E,24,30.315710454,-91.301790807,5465.0,-1,,,,052,,,,,BAYOU CHOCTAW,"BURRITE OPERATING, LLC",IBERVILLE,01,2026-09-15 05:00:00,5465.0,,,,,,2009991.0,599587.0,01,S,663279.2344420559,3354991.09580272,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255846",2026-09-16 09:05:30,PERMITTED,,"SL: N71 D 07'30"" W 33785.25' FROM NGS MONS ""178 2 RESET"" FALLING IN SEC 52, T9S-R11E, IBERVILLE PARISH. PBHL: S 200' FROM SL.",,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255846,SOUTH,,,5450.0,False
