OBJECTID,id,ORGANIZATION_ID,ORGOP_LINE_ID,WELL_CLASS_TYPE_CODE,well,well_num,township,EFFECTIVE_DATE,api,OPERATION_TYPE_CODE,issue_date,spud,status,WELL_STATUS_DATE,ORIGINAL_COMPLETION_DATE,LAST_RECOMPLETION_DATE,LAST_TEST_DATE,ORPHANED_FLAG,PRODUCT_TYPE_CODE,CLASSIFICATION,UNIT_WELL_FLAG,EXEMPT_29E_FLAG,FIELD_ID,LEASE_NUM,MUD_DENSITY,USDW_VALUE,AREA_USDW_VALUE,SOURCE_AREA_USDW_VALUE,MAX_SIP,SIP_ASSIGNED_DATE,SOURCE_OF_SIP_VALUE,INJECTION_RATE,COMMENTS,LOCATION,section,MERIDIAN,range,PARISH_CODE,lat,lon,depth,LEGEND,DISTRICT_CODE,INSPECTION_DATE,INSPECTION_YEAR_INDEX,SECTION,INJECTION_VOLUME,LOG_REVIEWED_FLAG,ORPHAN_STATUS_CODE,ORPHAN_STATUS_DATE,field,operator,parish,SCOUT_WELL_STATUS_CODE,SCOUT_REPORT_DATE,SCOUT_MEASURED_DEPTH,SCOUT_TRUE_VERTICAL_DEPTH,LUW_CODE,LUW_TYPE_CODE,LUW_NAME,LW_REC_STATUS,SURFACE_LAMBERT_X,SURFACE_LAMBERT_Y,SURFACE_COORD_SYSTEM_CODE,SURFACE_ZONE,SURFACE_UTM83_X,SURFACE_UTM83_Y,UPPER_PERFS,LOWER_PERFS,SANDS,RESERVOIRS,FORMATIONS,HYPERLINK,GIS_UPD_DATE,status_desc,dirwell,SCOUT_DETAIL,MINERAL_INTEREST_FLAG,STATE_INTEREST_FLAG,DOC_ACCESS,STATE_ZONE,COASTAL_PERMIT_NUM,SE_ANNO_CAD_DATA,TRUE_VERTICAL_DEPTH,first_seen
241209,255796,E183,1,,HA RA SUB;FULLER 24-13 HC,001-ALT,14N,2026-07-29 05:00:00,17031276260000,01,2026-07-29 05:00:00,,01,2026-07-29 05:00:00,,,,,00,,,,4541,,0.0,,0.0,,,,,0.0,,1030' FSL & 2380' FEL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 2000' FEL OF SEC 13-T14N-R14W.,024,W,14W,16,32.183035697,-93.754662636,26500.0,-1,,,,024,,,,,HOLLY,"EXCO OPERATING COMPANY, LP",DE SOTO,01,2026-07-29 05:00:00,26500.0,,,,,,1611898.0,553760.0,01,N,428859.153528218,3560973.66218882,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255796",2026-07-31 09:05:28,PERMITTED,,1030' FSL & 2380' FEL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 2000' FEL OF SEC 13-T14N-R14W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255796,BAD,,,13000.0,True
241210,255797,E183,1,,HA RA SUB;FULLER 24-13 HC,002-ALT,14N,2026-07-29 05:00:00,17031276270000,01,2026-07-29 05:00:00,,01,2026-07-29 05:00:00,,,,,00,,,,4541,,0.0,,0.0,,,,,0.0,,980' FSL & 2381' FEL OF SEC 24-T14N-R14W. PBHL: 100' FNL & 670' FEL OF SEC 13-T14N-R14W.,024,W,14W,16,32.18289823,-93.754663997,26500.0,-1,,,,024,,,,,HOLLY,"EXCO OPERATING COMPANY, LP",DE SOTO,01,2026-07-29 05:00:00,26500.0,,,,,,1611897.0,553710.0,01,N,428858.9183132231,3560958.42484192,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255797",2026-07-31 09:05:28,PERMITTED,,980' FSL & 2381' FEL OF SEC 24-T14N-R14W. PBHL: 100' FNL & 670' FEL OF SEC 13-T14N-R14W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255797,BAD,,,13000.0,True
241211,255798,E183,1,,HA RA SUB;MAIER 24-13 HC,001-ALT,14N,2026-07-29 05:00:00,17031276280000,01,2026-07-29 05:00:00,,01,2026-07-29 05:00:00,,,,,00,,,,4541,,0.0,,0.0,,,,,0.0,,1606' FSL & 1191' FWL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 700' FWL OF SEC 13-T14N-R14W.,024,W,14W,16,32.184656528,-93.760348236,2650.0,-1,,,,024,,,,,HOLLY,"EXCO OPERATING COMPANY, LP",DE SOTO,01,2026-07-29 05:00:00,2650.0,,,,,,1610146.0,554370.0,01,N,428324.437520708,3561157.10570811,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255798",2026-07-31 09:05:28,PERMITTED,,1606' FSL & 1191' FWL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 700' FWL OF SEC 13-T14N-R14W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255798,BAD,,,13000.0,True
241212,255799,E183,1,,HA RA SUB;MAIER 24-13 HC,002-ALT,14N,2026-07-29 05:00:00,17031276290000,01,2026-07-29 05:00:00,,01,2026-07-29 05:00:00,,,,,00,,,,4541,,0.0,,0.0,,,,,0.0,,1559' FSL & 1208' FWL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 1970' FWL OF SEC 13-T14N-R14W.,024,W,14W,16,32.184525101,-93.760294716,26500.0,-1,,,,024,,,,,HOLLY,"EXCO OPERATING COMPANY, LP",DE SOTO,01,2026-07-29 05:00:00,26500.0,,,,,,1610162.0,554322.0,01,N,428329.379744295,3561142.50141558,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255799",2026-07-31 09:05:28,PERMITTED,,1559' FSL & 1208' FWL OF SEC 24-T14N-R14W.  PBHL: 100' FNL & 1970' FWL OF SEC 13-T14N-R14W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255799,BAD,,,13000.0,True
