key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255708,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 8&20-11-11HC,004,2026-06-23,,01,PERMITTED
255709,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 8&20-11-11HC,005,2026-06-23,,01,PERMITTED
255710,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 8&20-11-11HC,006,2026-06-23,,01,PERMITTED
255711,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 5&20-11-11HC,001,2026-06-23,,01,PERMITTED
255713,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 5&20-11-11HC,002,2026-06-23,,01,PERMITTED
255712,"BROOKSTON ENERGY, INC.",CADDO,CV RA SUC;WEISER 30-19 H,001-ALT,2026-06-24,,01,PERMITTED
255714,"BROOKSTON ENERGY, INC.",CADDO,CV RA SUB;WEISER 29-32 HC,001,2026-06-24,,01,PERMITTED
255715,"BROOKSTON ENERGY, INC.",CADDO,CV RA SUC;WEISER 30-31 HC,001-ALT,2026-06-24,,01,PERMITTED
255716,"COMSTOCK OIL & GAS--LA, LLC",BOSSIER,HA RA SU131;CTSWLD 20-29-32 HC,001-ALT,2026-06-24,,01,PERMITTED
255717,"COMSTOCK OIL & GAS--LA, LLC",BOSSIER,HA RA SU131;CTSWLD 20-29-32 HC,002-ALT,2026-06-24,,01,PERMITTED
255718,"COMSTOCK OIL & GAS--LA, LLC",BOSSIER,HA RA SU131;CTSWLD 20-29-32 HC,003-ALT,2026-06-24,,01,PERMITTED
255719,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUZ;BURFORD 32-29 HC,001-ALT,2026-06-24,,01,PERMITTED
255720,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUZ;BURFORD 32-29 HC,002-ALT,2026-06-24,,01,PERMITTED
255721,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUZ;BURFORD 32-29 HC,003-ALT,2026-06-24,,01,PERMITTED
