Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917883,003,ANDREWS,RUNNING MAN UNIT,10,100158,2026-08-13,ADMIRAL PERMIAN OPERATING LLC,1B,11000,2026-08-20,,32.1015113,-102.5508058,32.1162056,-102.5494925,False
0917885,003,ANDREWS,RUNNING MAN UNIT,10,100158,2026-08-13,ADMIRAL PERMIAN OPERATING LLC,2B,11000,2026-08-20,,32.1014897,-102.5508993,32.0849403,-102.5548392,False
0917045,003,ANDREWS,UL CHATFIELD 36F,10,628658,2026-07-08,OVINTIV USA INC.,103HF,10500,2026-08-20,,32.43575,-102.2951222,32.4753028,-102.3103528,False
0917951,033,BORDEN,GUNSIGHT MESA,11,760960,2026-08-18,SEABOARD OPERATING CO.,1,10000,2026-08-20,,,,,,True
0917947,097,COOKE,TRUBENBACH,13,265140,2026-08-18,FELDERHOFF PRODUCTION COMPANY,1,2100,2026-08-20,,,,,,False
0917949,105,CROCKETT,"HATTON, E.H. ESTATE '8D'",09,760218,2026-08-18,SCOUT ENERGY MANAGEMENT LLC,3,7500,2026-08-20,,,,,,False
0917924,105,CROCKETT,"WARREN, W. K. FOUNDATION '24'",09,760218,2026-08-17,SCOUT ENERGY MANAGEMENT LLC,12,7235,2026-08-20,,,,,,False
0917920,127,DIMMIT,SAN PEDRO RANCH - LOVE,01,104048,2026-08-17,JONAH ENERGY LLC,1201H,4500,2026-08-20,,,,,,False
0917862,135,ECTOR,CHARLIN 39-46 H,10,217012,2026-08-12,DIAMONDBACK E&P LLC,1HR,12500,2026-08-20,,,,,,False
0917963,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-18,OXY USA INC.,3529,5700,2026-08-20,,,,,,False
0917956,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-18,OCCIDENTAL PERMIAN LTD.,283,6000,2026-08-20,,,,,,False
0916605,301,LOVING,CROSS MOUNTAIN 4045-28,10,942623,2026-06-19,"WPX ENERGY PERMIAN, LLC",412H,14000,2026-08-20,,,,,,False
0916604,301,LOVING,CROSS MOUNTAIN 4045-28 WEST,10,942623,2026-06-19,"WPX ENERGY PERMIAN, LLC",411H,14000,2026-08-20,,,,,,False
0917207,329,MIDLAND,GEORGIA 37-32 A,10,217012,2026-07-14,DIAMONDBACK E&P LLC,1BN,13000,2026-08-20,,,,,,False
0917331,329,MIDLAND,WINKLEMAN-DONOVAN 10I,10,665748,2026-07-21,"PIONEER NATURAL RES. USA, INC.",109H,10369,2026-08-20,,,,,,False
0917332,329,MIDLAND,WINKLEMAN-DONOVAN 10J,10,665748,2026-07-21,"PIONEER NATURAL RES. USA, INC.",110H,10369,2026-08-20,,,,,,False
0917895,389,REEVES,ARPENT 21602 25,10,041867,2026-08-14,"BTA OIL PRODUCERS, LLC",05H,12100,2026-08-20,,,,,,False
0917915,389,REEVES,ARPENT 21602 25,10,041867,2026-08-17,"BTA OIL PRODUCERS, LLC",06H,12100,2026-08-20,,,,,,False
0917265,389,REEVES,STATE HARRISON RANCH 56,10,253162,2026-07-16,"EOG RESOURCES, INC.",2536H,14000,2026-08-20,,,,,,False
0917929,391,REFUGIO,ROOKE. B.D.,02,103756,2026-08-17,"RISING STAR ENERGY PARTNERS II,",6901PR,7300,2026-08-20,,,,,,True
0917879,393,ROBERTS,MAYO CLINIC 133,14,829221,2026-08-13,SUMMIT PETROLEUM LLC,5133H,6900,2026-08-20,,,,,,False
0917970,401,RUSK,BROWN SWD,06,101883,2026-08-18,"TANOS EXPLORATION IV, LLC",1,4500,2026-08-20,,,,,,False
0917887,405,SAN AUGUSTINE,SACAGAWEA,06,103913,2026-08-13,ADAMAS ENERGY LLC,9H,14600,2026-08-20,,,,,,False
0917888,405,SAN AUGUSTINE,SACAGAWEA,06,103913,2026-08-13,ADAMAS ENERGY LLC,11H,14600,2026-08-20,,,,,,False
0917776,445,TERRY,SUNTURA (LOWER CLEAR FORK) UNIT,11,054430,2026-08-11,"BASIN OIL & GAS OPERATING, LLC",605,8400,2026-08-20,,,,,,False
0917934,475,WARD,"EDWARDS, C. W. ET AL",10,666430,2026-08-17,PITTS ENERGY CO.,19,5709,2026-08-20,,,,,,False
0917942,493,WILSON,KOLENDA B,01,899023,2026-08-17,"WARWICK-ARTEMIS, LLC",2H,8500,2026-08-20,,,,,,False
0917881,501,YOAKUM,BOOMS FARM 710 - 727,11,712382,2026-08-13,"RING ENERGY, INC.",1XH,5500,2026-08-20,,,,,,False
