Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0904523,109,CULBERSON,ANIMAL KINGDOM 44 UNIT R,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,20H,12000,2024-12-16,2025-01-19,,,,
0904130,109,CULBERSON,BROKERS TIP 13 SWD,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,9,6000,2024-11-19,2024-12-17,,,,
0907892,109,CULBERSON,CITATION 32 SWD,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,1,4500,2025-05-13,,,,,
0904401,109,CULBERSON,CITATION 41-32 B,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,5H,12000,2024-12-05,2025-01-26,,,,
0904397,109,CULBERSON,CITATION 41-32 D,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,7H,12000,2024-12-05,2025-01-29,,,,
0904412,109,CULBERSON,CITATION 41-32 M,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,16H,12000,2024-12-05,2025-01-17,,,,
0905168,109,CULBERSON,FOOLISH PLEASURE 43-6 UNIT,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,11H,11000,2025-01-16,2025-02-21,,,,
0905170,109,CULBERSON,FOOLISH PLEASURE 43-6 UNIT,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,12H,11000,2025-01-16,2025-02-14,,,,
0905171,109,CULBERSON,FOOLISH PLEASURE 43-6 UNIT,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,13H,11000,2025-01-16,2025-02-08,,,,
0907895,109,CULBERSON,LORD MURPHY 10 SWD,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,1,4500,2025-05-14,,,,,
0907897,109,CULBERSON,LUCKY DEBONAIR 16 SWD,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,1,4500,2025-05-14,,,,,
0905155,109,CULBERSON,NEEDLES 39 UNIT,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,12H,11000,2025-01-16,2025-04-05,,,,
0905156,109,CULBERSON,NEEDLES 39 UNIT,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,13H,11000,2025-01-16,2025-04-02,,,,
0907899,109,CULBERSON,SPECTACULAR BID 22 SWD,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,1,4500,2025-05-14,,,,,
0908268,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,2H,11000,2025-05-30,2025-11-10,,,,
0908271,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,3H,11000,2025-05-30,2025-11-25,,,,
0908272,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,4H,11000,2025-05-30,2024-11-22,,,,
0908270,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,5H,11000,2025-05-30,2025-11-13,,,,
0908273,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,6H,11000,2025-05-30,2025-11-16,,,,
0908274,109,CULBERSON,STATE CHARISMATIC 5-8 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,11H,11000,2025-05-30,2025-11-19,,,,
0910844,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,1H,10000,2025-10-03,2025-10-30,,,,
0910845,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,2H,10000,2025-10-03,2025-10-26,,,,
0910847,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,3H,10000,2025-10-03,2025-10-29,,,,
0910848,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,4H,10000,2025-10-03,2025-10-22,,,,
0910849,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,5H,10000,2025-10-03,2025-10-28,,,,
0910850,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,6H,10000,2025-10-03,2025-10-21,,,,
0910851,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,7H,10000,2025-10-03,2025-10-27,,,,
0910852,109,CULBERSON,STATE WINTERGREEN UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,8H,10000,2025-10-03,,,,,
0907795,109,CULBERSON,TOMY LEE 20-29 L,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,11H,11000,2025-05-15,,,,,
0905112,109,CULBERSON,TYPHOON 42 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,11H,11000,2025-01-14,2025-02-06,,,,
0905117,109,CULBERSON,TYPHOON 42 UNIT,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,13H,11000,2025-01-14,2025-03-01,,,,
0914730,227,HOWARD,ZISSOU B,10,788997,2026-07-13,SM ENERGY COMPANY,3243WA,9500,2026-04-17,2026-06-24,,,,
0908142,301,LOVING,DUSK 54-1-39-34 B,10,020528,2026-08-17,ANADARKO E&P ONSHORE LLC,61HA,12000,2025-06-04,2025-09-23,,,,
