Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917828,003,ANDREWS,UL WILD CARD 3-15 A,10,741937,2026-08-11,"SABALO II OPERATING, LLC",1CF,8300,2026-08-14,,32.3878443,-102.4352146,32.344772,-102.4227778,False
0917868,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,1H,11000,2026-08-14,,,,,,False
0917869,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,2H,11000,2026-08-14,,,,,,False
0917871,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,3H,11000,2026-08-14,,,,,,False
0917872,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,4H,11000,2026-08-14,,,,,,False
0917873,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,5H,11000,2026-08-14,,,,,,False
0917874,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,6H,11000,2026-08-14,,,,,,False
0917875,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,7H,11000,2026-08-14,,,,,,False
0917876,109,CULBERSON,STATE LUCKY DEBONAIR UNIT,10,103285,2026-08-13,COTERRA ENERGY OPERATING CO.,8H,11000,2026-08-14,,,,,,False
0917781,115,DAWSON,OVERTON A UNIT,11,104003,2026-08-11,"LAGUNA TEXAS RESOURCES, LLC",L 5H,8600,2026-08-14,,,,,,True
0917837,127,DIMMIT,SAN PEDRO RANCH,01,104048,2026-08-12,JONAH ENERGY LLC,4505CH,4500,2026-08-14,,,,,,False
0917788,127,DIMMIT,BEINHORN AC C A,01,728874,2026-08-11,"ROSEWOOD RESOURCES, INC.",1H,8200,2026-08-14,,,,,,False
0917752,135,ECTOR,GOSIER 0416,10,101413,2026-08-10,FIREBIRD ENERGY II LLC,804H,12000,2026-08-14,,,,,,False
0917751,135,ECTOR,GOSIER 0508,10,101413,2026-08-10,FIREBIRD ENERGY II LLC,801H,12000,2026-08-14,,,,,,False
0917755,135,ECTOR,JAKE P A,10,101413,2026-08-10,FIREBIRD ENERGY II LLC,801H,12000,2026-08-14,,,,,,False
0917757,135,ECTOR,JAKE P B,10,101413,2026-08-10,FIREBIRD ENERGY II LLC,802H,12000,2026-08-14,,,,,,False
0917846,165,GAINES,SWALLOWTAIL,11,540703,2026-08-12,"MCCLURE OIL COMPANY, INC.",5,6000,2026-08-14,,,,,,False
0917852,165,GAINES,SWALLOWTAIL,11,540703,2026-08-12,"MCCLURE OIL COMPANY, INC.",7,6000,2026-08-14,,,,,,False
0917815,199,HARDIN,ARRIOLA FEE,03,919409,2026-08-11,"WHITEHEAD RESOURCES, LTD.",197,4500,2026-08-14,,,,,,False
0917805,211,HEMPHILL,JONES TRUST 21/20 A,14,562560,2026-08-11,MEWBOURNE OIL COMPANY,C001GB,9372,2026-08-14,,,,,,False
0917836,237,JACK,WISE STEWART,13,014804,2026-08-12,"B.O.L.D. OIL AND GAS, LLC",9S,2999,2026-08-14,,,,,,False
0917827,241,JASPER,JOHNSON,03,206081,2026-08-11,DAVIS SOUTHERN OPERATING CO LLC,4,10088,2026-08-14,,,,,,False
0917723,383,REAGAN,DRIVER S27R,09,665748,2026-08-07,"PIONEER NATURAL RES. USA, INC.",18HM,10304,2026-08-14,,,,,,False
0917832,389,REEVES,STATE FIREWALKER 8/20,10,562560,2026-08-11,MEWBOURNE OIL COMPANY,W102CN,10399,2026-08-14,,,,,,False
0917834,389,REEVES,STATE FIREWALKER 8/20,10,562560,2026-08-11,MEWBOURNE OIL COMPANY,W102DM,10389,2026-08-14,,,,,,False
0917477,389,REEVES,STATE GAGE 2/5 A1,10,562560,2026-07-28,MEWBOURNE OIL COMPANY,W102AP,10704,2026-08-14,,,,,,False
0917478,389,REEVES,STATE GAGE 2/5 A2,10,562560,2026-07-28,MEWBOURNE OIL COMPANY,W201AP,10884,2026-08-14,,,,,,False
0917795,395,ROBERTSON,GREAT EAGLE B,05,923444,2026-08-11,WILDFIRE ENERGY OPERATING LLC,2HA,7000,2026-08-14,,,,,,False
0917020,401,RUSK,HELVENSTON D CV (AW),06,103925,2026-07-07,SABINE ENERGY INC.,4H,12000,2026-08-14,,,,,,False
0917823,415,SCURRY,FULLER,11,617544,2026-08-11,OCCIDENTAL PERMIAN LTD.,6028,7054,2026-08-14,,,,,,False
0917750,441,TAYLOR,TYE-SOUTH STREET,08,211975,2026-08-10,"DELEK CRUDE LOGISTICS, LLC",1,300,2026-08-14,,,,,,True
0917858,461,UPTON,NEAL '14-B',09,028618,2026-08-12,"AQUA TERRA PERMIAN, LLC",3903,6500,2026-08-14,,,,,,False
0917801,475,WARD,VULCAN 2-3 F,10,552167,2026-08-11,"MCM OPERATING, LLC",302H,11000,2026-08-14,,,,,,True
0917804,475,WARD,VULCAN 2-3 G,10,552167,2026-08-11,"MCM OPERATING, LLC",403H,11000,2026-08-14,,,,,,True
0917807,475,WARD,VULCAN 2-3 H,10,552167,2026-08-11,"MCM OPERATING, LLC",303H,11000,2026-08-14,,,,,,True
0917810,475,WARD,VULCAN 2-3 I,10,552167,2026-08-11,"MCM OPERATING, LLC",404H,11000,2026-08-14,,,,,,True
0917811,475,WARD,VULCAN 2-3 J,10,552167,2026-08-11,"MCM OPERATING, LLC",304H,11000,2026-08-14,,,,,,True
0917814,477,WASHINGTON,MAC ARTHUR UNIT,03,521544,2026-08-11,MAGNOLIA OIL & GAS OPERATING LLC,H 04TM,12000,2026-08-14,,,,,,False
0917835,493,WILSON,WISEMAN,01,100344,2026-08-11,"PALOMA OPERATING, LLC",1H,2800,2026-08-14,,,,,,False
0917780,501,YOAKUM,WASSON ODC UNIT,11,617544,2026-08-11,OCCIDENTAL PERMIAN LTD.,919H,5500,2026-08-14,,,,,,False
0917787,501,YOAKUM,YOAKUM WASSON CLEARFORK UNIT,11,617544,2026-08-11,OCCIDENTAL PERMIAN LTD.,8653H,6050,2026-08-14,,,,,,False
