OBJECTID,id,ORGANIZATION_ID,ORGOP_LINE_ID,WELL_CLASS_TYPE_CODE,well,well_num,township,EFFECTIVE_DATE,api,OPERATION_TYPE_CODE,issue_date,spud,status,WELL_STATUS_DATE,ORIGINAL_COMPLETION_DATE,LAST_RECOMPLETION_DATE,LAST_TEST_DATE,ORPHANED_FLAG,PRODUCT_TYPE_CODE,CLASSIFICATION,UNIT_WELL_FLAG,EXEMPT_29E_FLAG,FIELD_ID,LEASE_NUM,MUD_DENSITY,USDW_VALUE,AREA_USDW_VALUE,SOURCE_AREA_USDW_VALUE,MAX_SIP,SIP_ASSIGNED_DATE,SOURCE_OF_SIP_VALUE,INJECTION_RATE,COMMENTS,LOCATION,section,MERIDIAN,range,PARISH_CODE,lat,lon,depth,LEGEND,DISTRICT_CODE,INSPECTION_DATE,INSPECTION_YEAR_INDEX,SECTION,INJECTION_VOLUME,LOG_REVIEWED_FLAG,ORPHAN_STATUS_CODE,ORPHAN_STATUS_DATE,field,operator,parish,SCOUT_WELL_STATUS_CODE,SCOUT_REPORT_DATE,SCOUT_MEASURED_DEPTH,SCOUT_TRUE_VERTICAL_DEPTH,LUW_CODE,LUW_TYPE_CODE,LUW_NAME,LW_REC_STATUS,SURFACE_LAMBERT_X,SURFACE_LAMBERT_Y,SURFACE_COORD_SYSTEM_CODE,SURFACE_ZONE,SURFACE_UTM83_X,SURFACE_UTM83_Y,UPPER_PERFS,LOWER_PERFS,SANDS,RESERVOIRS,FORMATIONS,HYPERLINK,GIS_UPD_DATE,status_desc,dirwell,SCOUT_DETAIL,MINERAL_INTEREST_FLAG,STATE_INTEREST_FLAG,DOC_ACCESS,STATE_ZONE,COASTAL_PERMIT_NUM,SE_ANNO_CAD_DATA,TRUE_VERTICAL_DEPTH,first_seen
229563,255784,A1169,1,,HA RA SUE;MOMENTUM 5-12-12HU,005,12N,2026-07-24 05:00:00,17031276240000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,551' FSL & 2607' FEL OF SEC 5-T12N-R12W. PBHL: 100' FSL & 430' FWL OF SEC 5-T12N-R12W,005,W,12W,16,32.050469303,-93.619203385,25000.0,-1,,,,005,,,,,RED RIVER-BULL BAYOU,"APEX NATURAL GAS, LLC",DE SOTO,01,2026-07-24 05:00:00,25000.0,,,,,,1653305.0,505079.0,01,N,441544.489806896,3546197.48169904,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255784",2026-07-29 09:05:20,PERMITTED,,551' FSL & 2607' FEL OF SEC 5-T12N-R12W. PBHL: 100' FSL & 430' FWL OF SEC 5-T12N-R12W,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255784,BAD,,,13500.0,False
229564,255785,A1169,1,,HA RA SUE;MOMENTUM 5-12-12HU,006-ALT,12N,2026-07-24 05:00:00,17031276250000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,291' FSL & 2527' FEL OF SEC 5-T12N-R12W. PBHL: 100' FSL & 930' FEL OF SEC 5-T12N-R12W.,005,W,12W,16,32.049756708,-93.618955884,25000.0,-1,,,,005,,,,,RED RIVER-BULL BAYOU,"APEX NATURAL GAS, LLC",DE SOTO,01,2026-07-24 05:00:00,25000.0,,,,,,1653379.0,504819.0,01,N,441567.402586236,3546118.35926255,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255785",2026-07-29 09:05:20,PERMITTED,,291' FSL & 2527' FEL OF SEC 5-T12N-R12W. PBHL: 100' FSL & 930' FEL OF SEC 5-T12N-R12W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255785,BAD,,,13500.0,False
229565,255786,E1152,1,,EGC 27&34-9-8 HC,001,09N,2026-07-24 05:00:00,17069205630000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7734,,0.0,,0.0,,,,,0.0,,2089' FSL & 540' FEL OF SEC 27-T9N-R8W. PBHL: 100' FSL & 430' FEL OF SEC 34-T9N-R8W.,027,W,08W,35,31.733917137,-93.171746425,35000.0,-1,,,,027,,,,,ROBELINE,EXPAND OPERATING LLC,NATCHITOCHES,01,2026-07-24 05:00:00,35000.0,,,,,,1791217.0,388786.0,01,N,483730.947768538,3510955.85915527,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255786",2026-07-29 09:05:20,PERMITTED,,2089' FSL & 540' FEL OF SEC 27-T9N-R8W. PBHL: 100' FSL & 430' FEL OF SEC 34-T9N-R8W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255786,BAD,,,14000.0,False
229566,255787,0492,1,,BAYOU STATE OWENS,014,22N,2026-07-23 05:00:00,17017370640000,01,2026-07-23 05:00:00,,01,2026-07-23 05:00:00,,,,,00,,,,2152,,0.0,,0.0,,,,,0.0,,2492' FNL & 279' FWL OF SEC 21-T22N-R15W.,021,W,15W,09,32.884997708,-93.930033396,1100.0,01,,,,021,,,,,CADDO PINE ISLAND,BAYOU STATE OIL CORPORATION,CADDO,01,2026-07-23 05:00:00,1100.0,,,,,,1561017.0,809799.0,01,N,413006.038886483,3638921.26972538,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255787",2026-07-29 09:05:20,PERMITTED,,2492' FNL & 279' FWL OF SEC 21-T22N-R15W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255787,BAD,,,1100.0,False
229567,255788,0492,1,,JOLLEY B,032,22N,2026-07-24 05:00:00,17017370650000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,2152,,0.0,,0.0,,,,,0.0,,2322' FSL & 1851' FEL OF SEC 21-T22N-R15W.,021,W,15W,09,32.883553418,-93.919750072,1100.0,01,,,,021,,,,,CADDO PINE ISLAND,BAYOU STATE OIL CORPORATION,CADDO,01,2026-07-24 05:00:00,1100.0,,,,,,1564167.0,809232.0,01,N,413966.56468587,3638752.71843006,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255788",2026-07-29 09:05:20,PERMITTED,,2322' FSL & 1851' FEL OF SEC 21-T22N-R15W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255788,BAD,,,1100.0,False
229568,255789,0492,1,,JOLLEY B,033,22N,2026-07-24 05:00:00,17017370660000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,2152,,0.0,,0.0,,,,,0.0,,2072' FSL & 1851' FEL OF SEC21-T22N-R15W.,021,W,15W,09,32.882866276,-93.919752431,1100.0,01,,,,021,,,,,CADDO PINE ISLAND,BAYOU STATE OIL CORPORATION,CADDO,01,2026-07-24 05:00:00,1100.0,,,,,,1564163.0,808982.0,01,N,413965.679942395,3638676.5410325,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255789",2026-07-29 09:05:20,PERMITTED,,2072' FSL & 1851' FEL OF SEC21-T22N-R15W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255789,BAD,,,1100.0,False
229569,255790,0492,1,,OWENS,038,22N,2026-07-24 05:00:00,17017370670000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,2152,,0.0,,0.0,,,,,0.0,,2140' FSL & 2034' FWL OF SEC 21-T22N-R15W.,021,W,15W,09,32.883076741,-93.924325773,1100.0,01,,,,021,,,,,CADDO PINE ISLAND,BAYOU STATE OIL CORPORATION,CADDO,01,2026-07-24 05:00:00,1100.0,,,,,,1562760.0,809077.0,01,N,413538.075256679,3638703.61218692,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255790",2026-07-29 09:05:20,PERMITTED,,2140' FSL & 2034' FWL OF SEC 21-T22N-R15W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255790,BAD,,,1100.0,False
229570,255791,E4161,1,,HA RA SUD;SWN PROD 14-23 HC,003-ALT,12N,2026-07-24 05:00:00,17081219510000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,2332,,0.0,,0.0,,,,,0.0,,208' FNL & 413' FEL OF SEC 14-T12N-R9W. PBHL: 25' FSL & 1450' FEL OF SEC 23-T12N-R9W.,014,W,09W,41,32.030758817,-93.256684029,24081.0,-1,,,,014,,,,,CARROLL CREEK,"ENSIGHT IV ENERGY MANAGEMENT, LLC",RED RIVER,01,2026-07-24 05:00:00,24081.0,,,,,,1765566.0,496937.0,01,N,475762.883289705,3543873.87898204,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255791",2026-07-29 09:05:20,PERMITTED,,208' FNL & 413' FEL OF SEC 14-T12N-R9W. PBHL: 25' FSL & 1450' FEL OF SEC 23-T12N-R9W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255791,BAD,,,13751.0,False
229571,255792,B6983,1,,HA RD SUU;CASON 32-29-20HC,001-ALT,13N,2026-07-24 05:00:00,17081219520000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,301' FNL & 2455' FWL OF SEC 15-T13N-R10W.  PBHL: 477' FSL & 1571' FWL OF SEC 20-T14N-R10W.,05,W,10W,41,32.147626932,-93.416708239,24351.0,-1,,,,05,,,,,RED RIVER-BULL BAYOU,BPX OPERATING COMPANY,RED RIVER,01,2026-07-24 05:00:00,24351.0,,,,,,1716338.0,539832.0,01,N,460702.724248926,3556875.25560602,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255792",2026-07-29 09:05:20,PERMITTED,,301' FNL & 2455' FWL OF SEC 15-T13N-R10W.  PBHL: 477' FSL & 1571' FWL OF SEC 20-T14N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255792,BAD,,,12512.0,False
229572,255793,B6983,1,,HA RD SUU;CASON 32-29-20HC,002-ALT,13N,2026-07-24 05:00:00,17081219530000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,329' FNL & 2444' FWL OF SEC 5-T13N-R10W. PBHL: 100' FNL & 2567' FWL OF SEC 20-T14N-R10W.,005,W,10W,41,32.147552435,-93.416746273,28915.0,-1,,,,005,,,,,RED RIVER-BULL BAYOU,BPX OPERATING COMPANY,RED RIVER,01,2026-07-24 05:00:00,28915.0,,,,,,1716326.0,539805.0,01,N,460699.105523094,3556867.01174555,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255793",2026-07-29 09:05:20,PERMITTED,,329' FNL & 2444' FWL OF SEC 5-T13N-R10W. PBHL: 100' FNL & 2567' FWL OF SEC 20-T14N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255793,BAD,,,12514.0,False
229573,255794,B6983,1,,HA RD SUU;CASON 32-29-20HC,003-ALT,13N,2026-07-24 05:00:00,17081219540000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,357' FNL & 2433' FWL OF SEC 5-T13N-R10W.  PBHL: 100' FNL & 1740' FEL OF SEC 20-T14N-R10W.,005,W,10W,41,32.147475212,-93.416781049,28803.0,-1,,,,005,,,,,RED RIVER-BULL BAYOU,BPX OPERATING COMPANY,RED RIVER,01,2026-07-24 05:00:00,28803.0,,,,,,1716315.0,539777.0,01,N,460695.792902278,3556858.46457661,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255794",2026-07-29 09:05:20,PERMITTED,,357' FNL & 2433' FWL OF SEC 5-T13N-R10W.  PBHL: 100' FNL & 1740' FEL OF SEC 20-T14N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255794,BAD,,,12520.0,False
229574,255795,B6983,1,,HA RD SUU;CASON 32-29-20HC,004-ALT,13N,2026-07-24 05:00:00,17081219550000,01,2026-07-24 05:00:00,,01,2026-07-24 05:00:00,,,,,00,,,,7651,,0.0,,0.0,,,,,0.0,,385' FNL & 2423' FWL OF SEC 5-T13N-R10W.  PBHL: 100' FNL & 430' FEL OF SEC 20-T14N-R10W.,005,W,10W,41,32.147397989,-93.416815824,29007.0,-1,,,,005,,,,,RED RIVER-BULL BAYOU,BPX OPERATING COMPANY,RED RIVER,01,2026-07-24 05:00:00,29007.0,,,,,,1716304.0,539749.0,01,N,460692.480281484,3556849.91740757,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255795",2026-07-29 09:05:20,PERMITTED,,385' FNL & 2423' FWL OF SEC 5-T13N-R10W.  PBHL: 100' FNL & 430' FEL OF SEC 20-T14N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255795,BAD,,,12520.0,False
