Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0916011,009,ARCHER,HF SINCLAIR,13,104379,2026-05-28,"WBI ENERGY MIDSTREAM, LLC",T012MP,350,2026-08-05,2026-08-19,33.745617,-98.669306,33.745617,-98.669306
0916015,009,ARCHER,HF SINCLAIR,13,104379,2026-05-28,"WBI ENERGY MIDSTREAM, LLC",T013MP,350,2026-08-03,2026-08-13,33.529136,-98.887453,33.529136,-98.887453
0912168,415,SCURRY,MAPACHE GRANDE 008B,11,857911,2026-06-08,"THREE SPAN OIL & GAS, INC.",1H,8000,2026-01-09,2026-08-28,,,,
0917590,417,SHACKELFORD,HF SINCLAIR MP27,08,104379,2026-08-03,"WBI ENERGY MIDSTREAM, LLC",T027MP,350,2026-08-13,2026-08-28,,,,
0917938,485,WICHITA,THROCKMORTON,13,101771,2026-08-17,"KODIAK OIL & GAS, INC.",1,4600,2026-08-24,2026-08-24,,,,
0917561,501,YOAKUM,"POWELL, MATTIE 'A'",11,849735,2026-07-31,"TEXLAND PETROLEUM, L.P.",5,8600,2026-08-04,1977-08-17,,,,
