Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0907191,301,LOVING,CASCADE STATE 29-0-29-41 G,10,020528,2026-08-24,ANADARKO E&P ONSHORE LLC,15HA,13000,2025-04-08,2025-06-18,,,,
0911240,311,MCMULLEN,DK UNIT,01,103575,2026-08-24,"CRESCENT ENERGY OPERATING, LLC",A 11H,10000,2025-11-25,2025-12-10,,,,
0904448,375,POTTER,BIVINS,14,465296,2026-08-25,KING OPERATING CORPORATION,3501S,11000,2024-12-09,2024-12-28,,,,
0904449,375,POTTER,BIVINS,14,465296,2026-08-25,KING OPERATING CORPORATION,3502N,11000,2024-12-09,2024-12-30,,,,
0867643,389,REEVES,CITY OF PECOS 15 -16,10,611665,2026-08-14,NOBLE ENERGY INC,2HB,10600,2021-02-09,2014-10-15,,,,
0912347,461,UPTON,HENSLEY 29EEE-U,09,628658,2026-08-11,OVINTIV USA INC.,103HD,10300,2026-02-20,2026-03-19,,,,
0905623,475,WARD,UTL 2806D,10,429574,2026-03-31,JAGGED PEAK ENERGY LLC,04H,11200,2025-02-04,2025-03-24,,,,
