Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0914239,003,ANDREWS,FOUR WINDS 26-20 D,10,741937,2026-07-24,"SABALO II OPERATING, LLC",2WA,9900,2026-04-16,2026-04-21,32.292711,-102.436847,32.336989,-102.449558
0913139,135,ECTOR,MAZDA,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,4693OP,11400,2026-01-28,,32.0468608,-102.4840465,32.0136032,-102.4737092
0913143,135,ECTOR,MAZDA,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,4695OP,11400,2026-01-29,,32.0468821,-102.4839529,32.0144082,-102.4702609
0916251,163,FRIO,OLD LAREDO-UNIT-A,01,276959,2026-08-03,FORMENTERA OPERATIONS LLC,S735H,11200,2026-06-09,,28.7766361,-99.0675361,28.7558028,-99.048
0916250,163,FRIO,OLD LAREDO-UNIT-B,01,276959,2026-08-03,FORMENTERA OPERATIONS LLC,S738H,11200,2026-06-09,,28.7766972,-99.0674722,28.7577556,-99.0443889
0915052,203,HARRISON,HUNT HL,06,104093,2026-07-31,"PWEP OPERATING, LLC",1H,11950,2026-06-12,,32.465196,-94.581686,32.4279268,-94.5811591
0793849,313,MASON,FORREST C,03,100365,2026-07-30,EMPIRE TEXAS OPERATING LLC,303,12000,2014-09-09,2014-11-18,31.047655,-95.695787,31.0512334,-95.6906157
0912601,329,MIDLAND,BATTLEGROUND 30-7 K,10,217012,2026-02-26,DIAMONDBACK E&P LLC,3WA,12500,2026-01-27,2026-02-21,31.974786,-101.809594,32.028321,-101.826693
0915802,347,NACOGDOCHES,RED GENTRY GAS UNIT,06,104338,2026-07-31,ARENOS ENERGY,1HB,14200,2026-05-26,2026-06-01,31.5517058,-94.4010503,31.5887512,-94.3988074
0914775,383,REAGAN,MERCHANT DANIEL EAST K 14-7,09,102879,2026-08-03,"DE CENTRAL OPERATING, LLC",4211H,10605,2026-04-13,2026-05-27,31.5954001,-101.5345262,31.624317,-101.5428737
0913953,405,SAN AUGUSTINE,POOL A,06,103154,2026-07-22,"APEX NATURAL GAS, LLC",1HB,14500,2026-03-12,,31.4911806,-94.1765194,31.5275,-94.1855776
0916564,405,SAN AUGUSTINE,BSM NORTH UNIT,06,103732,2026-07-31,ROCKCLIFF ENERGY OPERATING III,2H,16000,2026-06-24,,31.5494056,-93.9986139,31.5778486,-93.9952792
0916565,405,SAN AUGUSTINE,BSM NORTH UNIT,06,103732,2026-07-31,ROCKCLIFF ENERGY OPERATING III,3HB,16000,2026-06-24,,31.5494278,-93.9985556,31.5760844,-93.9931614
0912458,461,UPTON,BEVERLY 4726 B,09,101413,2026-06-30,FIREBIRD ENERGY II LLC,401H,9200,2026-01-12,2026-02-04,31.5779528,-102.2604251,31.6342986,-102.2787626
0912459,461,UPTON,BEVERLY 4726 C,09,101413,2026-06-30,FIREBIRD ENERGY II LLC,501H,9800,2026-01-12,2026-02-02,31.5779245,-102.2605493,31.6340022,-102.2801138
0912473,461,UPTON,BEVERLY 4726 D,09,101413,2026-06-30,FIREBIRD ENERGY II LLC,301H,8900,2026-01-12,2026-02-01,31.5779103,-102.2606114,31.633858,-102.2807708
0916759,499,WOOD,SASI RANCH UNIT,06,577015,2026-06-30,"MONTARE OPERATING, LTD.",2XT,10100,2026-06-26,,,,,
0916761,499,WOOD,SASI RANCH UNIT,06,577015,2026-06-30,"MONTARE OPERATING, LTD.",4ST,11300,2026-06-26,,,,,
0914365,501,YOAKUM,"HOOKER, L.H.",11,849735,2026-07-31,"TEXLAND PETROLEUM, L.P.",8,9000,2026-04-23,2026-07-10,,,,
0914217,501,YOAKUM,"HOOKER, L.H.",11,849735,2026-08-03,"TEXLAND PETROLEUM, L.P.",10,9000,2026-03-19,2026-07-23,,,,
0915192,507,ZAVALA,BLACKMON,01,338751,2026-07-28,"GULFTEX ENERGY, LLC",1H,6000,2026-04-30,,,,,
