Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917683,003,ANDREWS,UNIVERSITY 13-45,10,577015,2026-08-05,"MONTARE OPERATING, LTD.",16,11370,2026-08-10,,32.3233004,-102.746611,32.3233004,-102.746611,False
0917568,005,ANGELINA,STURGEON,06,103593,2026-07-31,"CATURUS ENERGY, LLC",1HB,17500,2026-08-11,,31.427159,-94.670651,31.4521628,-94.6691177,False
0917695,023,BAYLOR,WAGGONER DNTK,13,102117,2026-08-06,"WAGGONER OPERATING, L.L.C.",247DN,6000,2026-08-11,,33.7747672,-99.1078634,33.7747672,-99.1078634,False
0917694,023,BAYLOR,WAGGONER DNTK,13,102117,2026-08-06,"WAGGONER OPERATING, L.L.C.",248DN,6000,2026-08-11,,33.7742111,-99.1019496,33.7742111,-99.1019496,False
0917735,033,BORDEN,CHIMERA UNIT B 07-18,11,760725,2026-08-07,"SURGE OPERATING, LLC",4NH,9000,2026-08-11,,32.563452,-101.575867,32.537869,-101.564907,False
0917514,117,DEAF SMITH,BRAVO,14,103816,2026-07-29,"NORTH TEXAS CARBON, LLC",4,10000,2026-08-11,,34.8178389,-102.3479528,34.81785,-102.3460556,False
0917712,127,DIMMIT,YETT RANCH,01,250718,2026-08-06,EL TORO RESOURCES LLC,8231H,6000,2026-08-11,,28.4708528,-100.0187,28.4852528,-100.0344611,False
0917713,127,DIMMIT,YETT RANCH,01,250718,2026-08-06,EL TORO RESOURCES LLC,8232H,6000,2026-08-11,,28.4709083,-100.0186306,28.4868889,-100.0319583,False
0917714,127,DIMMIT,YETT RANCH,01,250718,2026-08-06,EL TORO RESOURCES LLC,8233H,6000,2026-08-11,,28.4709611,-100.0185583,28.488525,-100.0294583,False
0917461,135,ECTOR,SHERIFF 2-38 C,10,217012,2026-07-28,DIAMONDBACK E&P LLC,3BN,13000,2026-08-11,,31.7867039,-102.3245338,31.8251322,-102.3363881,False
0917462,135,ECTOR,SHERIFF 2-38 D,10,217012,2026-07-28,DIAMONDBACK E&P LLC,4BN,13000,2026-08-11,,31.7867704,-102.3245549,31.8260458,-102.3322749,False
0917502,201,HARRIS,JC STRIBLING,03,712947,2026-07-29,RISE PETROLEUM INVESTMENTS LLC,2,4852,2026-08-11,,30.0245013,-95.2502113,,,True
