Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0909379,103,CRANE,UL DANA POINT 22501 A 29-20-17,10,041867,2026-08-03,"BTA OIL PRODUCERS, LLC",02H,10050,2025-07-24,2025-09-03,31.4793961,-102.3931456,31.5145946,-102.4060443
0906949,317,MAVERICK,NAIL-TILLMAN W1K,10,665748,2026-07-30,"PIONEER NATURAL RES. USA, INC.",411H,8675,2025-04-01,2025-11-25,32.1004861,-102.0930135,32.0682343,-102.0789135
0915252,329,MIDLAND,BERMAN 3-33 A,10,217012,2026-07-23,DIAMONDBACK E&P LLC,1BN,13000,2026-06-03,,31.8808056,-101.9456528,31.90605,-101.9616472
0915256,329,MIDLAND,BERMAN 3-33 B,10,217012,2026-07-23,DIAMONDBACK E&P LLC,2BN,13000,2026-06-03,,31.8806722,-101.9456111,31.907,-101.9575444
0915259,329,MIDLAND,BERMAN 3-33 C,10,217012,2026-07-23,DIAMONDBACK E&P LLC,3BN,13000,2026-06-03,,31.8806056,-101.9455889,31.9079528,-101.9534389
0915263,329,MIDLAND,BERMAN 3-33 D,10,217012,2026-07-23,DIAMONDBACK E&P LLC,4BN,13000,2026-06-03,,31.8807389,-101.9456333,31.9089056,-101.9493361
0915668,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,201H,9500,2026-05-20,,31.506182,-103.578142,31.521036,-103.55537
0915669,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,301H,9800,2026-05-20,,31.505838,-103.577876,31.517524,-103.552653
0915675,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-04,APACHE CORPORATION,311H,10500,2026-05-19,,31.50601,-103.578009,31.520119,-103.554661
0915676,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,312H,10500,2026-05-20,,31.505895,-103.577921,31.517982,-103.553007
0915678,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,401H,10700,2026-05-20,,31.506125,-103.578098,31.521036,-103.55537
0915679,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,402H,10700,2026-05-19,,31.505953,-103.577965,31.519203,-103.553951
0915680,389,REEVES,FOWLER STATE UNIT 1720,10,027200,2026-08-03,APACHE CORPORATION,501H,11300,2026-05-20,,31.506067,-103.578053,31.520234,-103.554749
0916563,405,SAN AUGUSTINE,BSM NORTH UNIT,06,103732,2026-07-31,ROCKCLIFF ENERGY OPERATING III,1HB,16000,2026-06-24,,31.5493833,-93.998675,31.578825,-93.9973983
0913985,405,SAN AUGUSTINE,ROYAL TROON B,06,103732,2026-06-23,ROCKCLIFF ENERGY OPERATING III,2H,16000,2026-03-18,2026-04-10,31.548657,-94.0970536,31.5186306,-94.0926111
0914293,495,WINKLER,BULLET BOB 18/7 B,10,562560,2026-07-07,MEWBOURNE OIL COMPANY,F101NC,16300,2026-03-30,,,,,
0914294,495,WINKLER,BULLET BOB 18/7 C,10,562560,2026-07-07,MEWBOURNE OIL COMPANY,F101OB,16300,2026-03-27,,,,,
0914296,495,WINKLER,BULLET BOB 18/7 D,10,562560,2026-07-07,MEWBOURNE OIL COMPANY,F101PA,16250,2026-03-27,,,,,
0915262,507,ZAVALA,URBAN,01,338751,2026-07-28,"GULFTEX ENERGY, LLC",1H,6000,2026-05-04,2026-05-13,,,,
