Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0915292,013,ATASCOSA,FOUSHEE-WRIGHT KEATHLEY SA5,01,525398,2026-07-07,MARATHON OIL EF LLC,5H,17500,2026-05-06,,28.7624435,-98.1704398,28.7412447,-98.1458989
0915293,013,ATASCOSA,FOUSHEE-WRIGHT KEATHLEY SA6,01,525398,2026-07-07,MARATHON OIL EF LLC,6H,17500,2026-05-06,,28.7624852,-98.1704814,28.7380608,-98.1460874
0916591,103,CRANE,"LEA, P.J. ET AL",10,712382,2026-07-09,"RING ENERGY, INC.",4028TH,5020,2026-06-24,2026-07-06,,,,
0913490,115,DAWSON,CAESARS 36-24 UNIT,11,102954,2026-08-06,"PBEX-MCM OPERATING, LLC",311H,10605,2026-02-19,2026-02-22,,,,
0913408,115,DAWSON,NY NY 37-1 UNIT,11,102954,2026-08-06,"PBEX-MCM OPERATING, LLC",321H,10605,2026-02-13,2026-02-18,,,,
0915317,173,GLASSCOCK,FT SUMTER A,10,101577,2026-07-06,"CIVITAS PERMIAN OPERATING, LLC",74H,10000,2026-05-05,,,,,
0915321,173,GLASSCOCK,FT SUMTER A,10,101577,2026-07-06,"CIVITAS PERMIAN OPERATING, LLC",144H,10100,2026-05-06,,,,,
0905153,183,GREGG,FISHER-DUNCAN,06,186717,2026-07-10,CRATON OPERATING LLC,1B,10700,2025-01-21,1990-11-21,,,,
0911644,203,HARRISON,BOLDING-STRONG A (AW),06,103925,2026-02-23,SABINE ENERGY INC.,1H,12000,2026-01-27,,,,,
0829899,329,MIDLAND,MIDLAND 'AC/AF' FEE 10B,10,148113,2026-06-25,CHEVRON U. S. A. INC.,0172LS,9600,2017-09-01,2017-10-29,,,,
0832270,329,MIDLAND,MIDLAND 'AC/AF' FEE 12B,10,148113,2026-06-25,CHEVRON U. S. A. INC.,0173LS,9600,2017-10-27,2017-10-28,,,,
0907728,389,REEVES,GOLEM STATE 56-2-43-13 I,10,020528,2026-08-10,ANADARKO E&P ONSHORE LLC,18HD,13000,2025-05-01,,,,,
0907730,389,REEVES,GOLEM STATE 56-2-43-13 K,10,020528,2026-08-10,ANADARKO E&P ONSHORE LLC,23HD,13000,2025-05-01,,,,,
0906099,389,REEVES,TELLURIDE STATE 29-32 UNIT K,10,103285,2026-08-06,COTERRA ENERGY OPERATING CO.,11H,11000,2025-02-24,2025-09-17,,,,
0916576,475,WARD,JAKE 201-200 UNIT,10,100852,2026-07-09,"PERMIAN RESOURCES OPERATING, LLC",223HR,13000,2026-06-22,2026-06-25,,,,
