Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0916853,003,ANDREWS,MABEE DDA A46,10,166150,2026-07-01,COG OPERATING LLC,1007JH,12000,2026-08-13,,32.28838,-102.272167,32.2307993,-102.2565565,False
0916856,003,ANDREWS,MABEE DDA A49,10,166150,2026-07-01,COG OPERATING LLC,1008AH,12000,2026-08-13,,32.288325,-102.27235,32.2307993,-102.2565565,False
0916862,003,ANDREWS,MABEE DDA A53,10,166150,2026-07-01,COG OPERATING LLC,1011JH,12000,2026-08-13,,32.288307,-102.272411,32.2297996,-102.2606692,False
0917764,015,AUSTIN,"WALTON, J.C. 'A'",03,252470,2026-08-10,ENHANCED ENERGY PARTNERS CORP,21,3330,2026-08-13,,,,,,True
0917729,033,BORDEN,CHIMERA UNIT A 07-18,11,760725,2026-08-07,"SURGE OPERATING, LLC",3AH,9000,2026-08-12,,,,,,False
0917763,163,FRIO,NEPTUNE,01,276959,2026-08-10,FORMENTERA OPERATIONS LLC,A211VW,5500,2026-08-12,,,,,,False
0917782,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-11,OXY USA INC.,2807,5900,2026-08-12,,,,,,False
0917771,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-11,OXY USA INC.,3001 R,6000,2026-08-13,,,,,,False
0917779,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-11,OXY USA INC.,5503 R,5900,2026-08-12,,,,,,False
0917762,211,HEMPHILL,HAMMER 56/55 A,14,562560,2026-08-10,MEWBOURNE OIL COMPANY,C001MD,9144,2026-08-13,,,,,,False
0917526,227,HOWARD,JACUZZIE A,10,788997,2026-07-29,SM ENERGY COMPANY,211H,9700,2026-08-13,,,,,,False
0917527,227,HOWARD,JACUZZIE B,10,788997,2026-07-29,SM ENERGY COMPANY,212H,9750,2026-08-13,,,,,,False
0917486,227,HOWARD,WACO KID MARION RAVENWOOD B,10,788997,2026-07-28,SM ENERGY COMPANY,1824LS,9900,2026-08-13,,,,,,False
0917488,227,HOWARD,WACO KID MARION RAVENWOOD C,10,788997,2026-07-28,SM ENERGY COMPANY,0746WA,9950,2026-08-13,,,,,,False
0917440,227,HOWARD,WILLIE SCOTT B,10,788997,2026-07-27,SM ENERGY COMPANY,0885WD,10000,2026-08-13,,,,,,False
0917739,253,JONES,BAUCUM,08,815108,2026-08-07,"STAR PRODUCTION, INC.",3,3500,2026-08-12,,,,,,True
0916748,317,MARTIN,STANTON 28-16 F,10,217012,2026-06-26,DIAMONDBACK E&P LLC,1JM,12500,2026-08-12,,,,,,False
0916750,317,MARTIN,STANTON 28-16 F,10,217012,2026-06-26,DIAMONDBACK E&P LLC,1WA,12500,2026-08-12,,,,,,False
0917743,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",104H,11183,2026-08-13,,,,,,False
0917749,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",105H,11183,2026-08-13,,,,,,False
0917748,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",106H,11183,2026-08-13,,,,,,False
0917744,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",107H,11183,2026-08-13,,,,,,False
0917745,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",219H,11170,2026-08-13,,,,,,False
0917746,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",220H,11170,2026-08-13,,,,,,False
0917747,317,MARTIN,UNIVERSITY 7-28 PU,10,665748,2026-08-10,"PIONEER NATURAL RES. USA, INC.",222H,11170,2026-08-13,,,,,,False
0917129,329,MIDLAND,RIVERCREST 2-11 G,10,217012,2026-07-09,DIAMONDBACK E&P LLC,2WA,12500,2026-08-12,,,,,,False
0917665,329,MIDLAND,RUTTER 1-12 A,10,217012,2026-08-05,DIAMONDBACK E&P LLC,1WD,12500,2026-08-12,,,,,,False
0917666,329,MIDLAND,RUTTER 1-12 B,10,217012,2026-08-05,DIAMONDBACK E&P LLC,1LS,12500,2026-08-12,,,,,,False
0917667,329,MIDLAND,RUTTER 1-12 B,10,217012,2026-08-05,DIAMONDBACK E&P LLC,1WB,12500,2026-08-13,,,,,,False
0917715,329,MIDLAND,RUTTER 1-12 E,10,217012,2026-08-07,DIAMONDBACK E&P LLC,2WD,12500,2026-08-12,,,,,,False
0917123,329,MIDLAND,BROOKS-CRESPI 30N,10,665748,2026-07-09,"PIONEER NATURAL RES. USA, INC.",14H,10424,2026-08-12,,,,,,False
0917107,329,MIDLAND,CRESPI-GOLLADAY E30G,10,665748,2026-07-09,"PIONEER NATURAL RES. USA, INC.",7H,10424,2026-08-12,,,,,,False
0917726,329,MIDLAND,DONALD L HUTT C,10,665748,2026-08-07,"PIONEER NATURAL RES. USA, INC.",1150H,10711,2026-08-13,,,,,,False
0917727,329,MIDLAND,DONALD L HUTT C,10,665748,2026-08-07,"PIONEER NATURAL RES. USA, INC.",1151H,10711,2026-08-13,,,,,,False
0917169,329,MIDLAND,SHAUNA-WINDHAM 42L,10,665748,2026-07-10,"PIONEER NATURAL RES. USA, INC.",212H,10931,2026-08-12,,,,,,False
0917070,329,MIDLAND,TURNER-OXY 42A,10,665748,2026-07-08,"PIONEER NATURAL RES. USA, INC.",1H,10344,2026-08-12,,,,,,False
0917072,329,MIDLAND,TURNER-WINKLEMAN 42D,10,665748,2026-07-08,"PIONEER NATURAL RES. USA, INC.",4H,10344,2026-08-12,,,,,,False
0917649,363,PALO PINTO,COFFEE GROUP K.L. BRIDGES,08,292000,2026-08-04,"G & F OIL, INC.",9,1800,2026-08-13,,,,,,True
0917692,383,REAGAN,NORTH CREEK B,09,220855,2026-08-06,DISCOVERY NATURAL RESOURCES LLC,0444SB,8500,2026-08-12,,,,,,False
0917696,383,REAGAN,NORTH CREEK M,09,220855,2026-08-06,DISCOVERY NATURAL RESOURCES LLC,0261DC,9500,2026-08-12,,,,,,False
0917721,383,REAGAN,DRIVER S27J,09,665748,2026-08-07,"PIONEER NATURAL RES. USA, INC.",10HM,10304,2026-08-13,,,,,,False
0917621,389,REEVES,CHEVRON MINERALS 19,10,100852,2026-08-03,"PERMIAN RESOURCES OPERATING, LLC",1H,13000,2026-08-13,,,,,,False
