Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0917640,097,COOKE,"KLEMENT, ROBERT",13,265140,2026-08-04,FELDERHOFF PRODUCTION COMPANY,1,1999,2026-08-07,2026-08-12,,,,
0917155,383,REAGAN,SIDEWINDER WEST A 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4201H,10605,2026-08-11,2026-08-11,,,,
0917147,501,YOAKUM,LAZY HORSE 581-600 D,11,712217,2026-07-10,"RILEY PERMIAN OPERATING CO, LLC",35XH,7000,2026-07-10,,,,,
