Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0872476,003,ANDREWS,UNIVERSITY 8-4B S,10,628658,2025-10-28,OVINTIV USA INC.,H 2MS,10800,2021-09-23,2021-11-08,32.4011739,-102.3381087,32.3663942,-102.3282668
0904522,109,CULBERSON,ANIMAL KINGDOM 44 UNIT Q,10,103285,2026-08-20,COTERRA ENERGY OPERATING CO.,19H,12000,2024-12-16,2025-02-02,31.8935759,-104.1895042,31.8642721,-104.1867771
0904411,109,CULBERSON,CITATION 41-32 L,10,103285,2026-08-19,COTERRA ENERGY OPERATING CO.,15H,12000,2024-12-05,,31.8933555,-104.1830423,31.9240577,-104.185794
0907973,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,1H,11000,2025-05-21,2025-08-29,31.9532242,-104.2099486,31.924661,-104.2118827
0907975,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,2H,11000,2025-05-21,2025-09-02,31.9531282,-104.2098846,31.924657,-104.2099778
0907976,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,3H,11000,2025-05-21,2025-09-01,31.9532242,-104.2098846,31.924653,-104.2080739
0907977,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,4H,11000,2025-05-21,2025-09-03,31.9531282,-104.2097556,31.924649,-104.206169
0907981,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,5H,11000,2025-05-21,2025-08-02,31.9532981,-104.1999721,31.9246449,-104.2042641
0907978,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,6H,11000,2025-05-21,2025-08-03,31.9532021,-104.1999081,31.9246419,-104.2023332
0907979,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,7H,11000,2025-05-21,2025-08-01,31.9532981,-104.1999081,31.9246379,-104.2004283
0907980,109,CULBERSON,FLYING EBONY 19-30 UNIT,10,103285,2026-08-25,COTERRA ENERGY OPERATING CO.,8H,11000,2025-05-21,,31.9532021,-104.1997791,31.9246339,-104.1985234
0915038,203,HARRISON,CRAWFORD OIL UNIT,06,097353,2026-08-05,"BROOKSTON ENERGY, INC.",8,9176,2026-04-24,,32.360935,-94.2996094,32.3609351,-94.2996091
0914089,383,REAGAN,HUGHES EAST C,09,100852,2026-08-20,"PERMIAN RESOURCES OPERATING, LLC",212H,13000,2026-03-17,2026-04-03,,,,
0914091,383,REAGAN,HUGHES EAST E,09,100852,2026-08-20,"PERMIAN RESOURCES OPERATING, LLC",333H,13000,2026-03-17,2026-04-03,,,,
0914092,383,REAGAN,HUGHES EAST F,09,100852,2026-08-20,"PERMIAN RESOURCES OPERATING, LLC",331H,13000,2026-03-17,2026-04-03,,,,
0914093,383,REAGAN,HUGHES EAST G,09,100852,2026-08-20,"PERMIAN RESOURCES OPERATING, LLC",442H,13000,2026-03-17,2026-04-03,,,,
0916613,401,RUSK,PAT GRATTON,06,102367,2026-08-12,BUCKHORN OPERATING LLC,1H,10500,2026-06-30,,,,,
0915797,461,UPTON,CC 4144 A,09,027200,2026-07-15,APACHE CORPORATION,1JM,10000,2026-05-22,2026-05-29,,,,
0915798,461,UPTON,CC 4144 A,09,027200,2026-07-15,APACHE CORPORATION,2HA,10000,2026-05-22,2026-05-29,,,,
0915799,461,UPTON,CC 4144 B,09,027200,2026-07-16,APACHE CORPORATION,3HS,10000,2026-05-28,2026-05-30,,,,
0915805,461,UPTON,CC 4144 E,09,027200,2026-07-23,APACHE CORPORATION,7JM,10000,2026-05-26,2026-06-16,,,,
