Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0918029,033,BORDEN,JOTUNN UNIT A 25-24,11,760725,2026-08-20,"SURGE OPERATING, LLC",1AH,9000,2026-08-25,,32.529247,-101.48099,32.555514,-101.490249,False
0918030,033,BORDEN,JOTUNN UNIT A 25-24,11,760725,2026-08-20,"SURGE OPERATING, LLC",1JH,9000,2026-08-25,,32.529313,-101.481011,32.556263,-101.487176,False
0917923,095,CONCHO,CHOAT,09,104630,2026-08-17,"OUT WEST OPERATING, LLC",1,1900,2026-08-24,,31.2917135,-99.7416115,31.2917135,-99.7416115,True
0918024,123,DEWITT,W. BUTLER A,02,085408,2026-08-20,BPX OPERATING COMPANY,14H,13500,2026-08-25,,28.9898587,-97.692403,29.0005464,-97.7135225,False
0918023,123,DEWITT,W. BUTLER A,02,085408,2026-08-20,BPX OPERATING COMPANY,15H,13500,2026-08-25,,28.9898587,-97.692309,29.0024017,-97.7134835,False
0918025,123,DEWITT,W. BUTLER A,02,085408,2026-08-20,BPX OPERATING COMPANY,16H,13500,2026-08-25,,28.9898597,-97.692216,29.004321,-97.7134414,False
0917853,131,DUVAL,ALMA 1560,04,848007,2026-08-12,TEXAS SOUTHERN PETROLEUM CORP.,1,4775,2026-08-25,,27.9064014,-98.2832814,27.9064014,-98.2832814,True
0917976,135,ECTOR,CATHODIC PROTECTION,10,036599,2026-08-18,ATMOS PIPELINE - TEXAS,41,417,2026-08-25,,31.83484,-102.35105,31.83484,-102.35105,True
0918028,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-20,OCCIDENTAL PERMIAN LTD.,221,6000,2026-08-24,,33.8500749,-102.0405902,33.8472718,-102.0406347,False
0918027,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-20,OCCIDENTAL PERMIAN LTD.,221,6000,2026-08-24,,33.8500749,-102.0405902,33.8472718,-102.0406347,False
0918019,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-19,OCCIDENTAL PERMIAN LTD.,224,6000,2026-08-24,,33.8396686,-102.0363218,33.8396686,-102.0363218,False
0918020,189,HALE,ANTON-IRISH CLEARFORK UNIT,11,617544,2026-08-19,OCCIDENTAL PERMIAN LTD.,224,6000,2026-08-24,,33.8396686,-102.0363218,33.8396686,-102.0363218,False
0916957,203,HARRISON,JENNIFER STEWART JR,06,104093,2026-07-03,"PWEP OPERATING, LLC",1H,11900,2026-08-24,,32.455838,-94.5992882,32.4278231,-94.5982746,False
0918022,241,JASPER,PREDATOR,03,919409,2026-08-20,"WHITEHEAD RESOURCES, LTD.",2,3550,2026-08-25,,30.5124667,-94.0154722,30.5119778,-94.0154778,False
0917997,269,KING,BURNETT RANCH CO2 FLOOD 'PA1',11,385674,2026-08-19,"HIGH RIVER RES OPERATING, LLC",1MI,6100,2026-08-24,,33.459404,-100.090423,33.4592593,-100.0909923,True
0917941,289,LEON,NEYLAND ML,05,170038,2026-08-17,"COMSTOCK OIL & GAS, LLC",1H,30000,2026-08-25,,31.2804571,-96.2516667,31.2559666,-96.2183835,False
0918004,293,LIMESTONE,ROBERT SHAW GAS UNIT NO. 1,05,386310,2026-08-19,HILCORP ENERGY COMPANY,1,13600,2026-08-24,,31.3985202,-96.3166652,31.3985202,-96.3166652,False
0918042,311,MCMULLEN,MORRILL-WARSPITE A,01,884566,2026-08-20,VERDUN OIL & GAS LLC,1H,11600,2026-08-25,,28.5812122,-98.3463404,28.5903384,-98.3729981,False
0918043,311,MCMULLEN,MORRILL-WARSPITE B,01,884566,2026-08-20,VERDUN OIL & GAS LLC,2H,11600,2026-08-25,,28.5812148,-98.346247,28.5891399,-98.3733165,False
0918044,311,MCMULLEN,MORRILL-WARSPITE C,01,884566,2026-08-20,VERDUN OIL & GAS LLC,3H,11600,2026-08-25,,28.5811572,-98.3463385,28.5879468,-98.3736336,False
0918045,311,MCMULLEN,MORRILL-WARSPITE D,01,884566,2026-08-20,VERDUN OIL & GAS LLC,4H,11600,2026-08-25,,28.5811598,-98.3462451,28.5867354,-98.3739554,False
0918026,329,MIDLAND,NOBLES RED,10,173777,2026-08-20,"CONTINENTAL RESOURCES, INC.",3101BL,12150,2026-08-25,,,,,,False
0917616,389,REEVES,STATE BLACK DIAMOND A,10,103285,2026-08-03,COTERRA ENERGY OPERATING CO.,1H,11000,2026-08-25,,,,,,False
0917617,389,REEVES,STATE BLACK DIAMOND B,10,103285,2026-08-03,COTERRA ENERGY OPERATING CO.,2H,11000,2026-08-25,,,,,,False
0917618,389,REEVES,STATE BLACK DIAMOND C,10,103285,2026-08-03,COTERRA ENERGY OPERATING CO.,3H,11000,2026-08-25,,,,,,False
0917619,389,REEVES,STATE BLACK DIAMOND D,10,103285,2026-08-03,COTERRA ENERGY OPERATING CO.,5H,11000,2026-08-25,,,,,,False
0917620,389,REEVES,STATE BLACK DIAMOND E,10,103285,2026-08-03,COTERRA ENERGY OPERATING CO.,8H,11000,2026-08-25,,,,,,False
0914502,389,REEVES,W STATE F,10,875462,2026-03-30,U.S. ENERGY DEVELOPMENT CORP,6BH,11000,2026-08-25,,,,,,False
0914503,389,REEVES,W STATE I,10,875462,2026-03-30,U.S. ENERGY DEVELOPMENT CORP,9BH,11000,2026-08-25,,,,,,False
0917990,401,RUSK,BLACKBURN,06,881167,2026-08-19,VALENCE OPERATING COMPANY,1,10932,2026-08-24,,,,,,False
0918039,477,WASHINGTON,CLAY CREEK WEST UNIT,03,008555,2026-08-20,AETHON ENERGY OPERATING LLC,259,2000,2026-08-25,,,,,,True
0918040,477,WASHINGTON,CLAY CREEK WEST UNIT,03,008555,2026-08-20,AETHON ENERGY OPERATING LLC,260,2000,2026-08-25,,,,,,True
0918041,477,WASHINGTON,CLAY CREEK WEST UNIT,03,008555,2026-08-20,AETHON ENERGY OPERATING LLC,261,2000,2026-08-25,,,,,,True
0918048,477,WASHINGTON,CLAY CREEK WEST UNIT,03,008555,2026-08-21,AETHON ENERGY OPERATING LLC,262,2000,2026-08-25,,,,,,True
0917925,503,YOUNG,S HUGHES UNIT,13,738144,2026-08-17,"RUTHSON ENERGY, INC.",7,6500,2026-08-24,,,,,,True
