Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0917461,135,ECTOR,SHERIFF 2-38 C,10,217012,2026-07-28,DIAMONDBACK E&P LLC,3BN,13000,2026-08-11,2026-08-24,31.7867039,-102.3245338,31.8251322,-102.3363881
0917626,253,JONES,PITTARD,08,213703,2026-08-04,DELTA OIL & GAS LTD.,1,5000,2026-08-07,2026-08-25,32.743057,-99.9286009,32.743057,-99.9286009
0916643,301,LOVING,CROSS MOUNTAIN 4045-28,10,942623,2026-08-18,"WPX ENERGY PERMIAN, LLC",316H,14000,2026-07-02,,31.7478914,-103.3420327,31.7759377,-103.3461268
0917149,383,REAGAN,SIDEWINDER EAST I 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4209H,10605,2026-08-10,2026-08-15,,,,
0917148,383,REAGAN,SIDEWINDER EAST I 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4409H,10605,2026-08-10,2026-08-16,,,,
0917150,383,REAGAN,SIDEWINDER EAST K 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4311H,10605,2026-08-10,2026-08-16,,,,
0917152,383,REAGAN,SIDEWINDER EAST M 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4213H,10605,2026-08-10,2026-08-17,,,,
0917151,383,REAGAN,SIDEWINDER EAST M 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4413H,10605,2026-08-10,2026-08-17,,,,
0917153,383,REAGAN,SIDEWINDER EAST O 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4315H,10605,2026-08-10,2026-08-18,,,,
0917154,383,REAGAN,SIDEWINDER WEST A 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4401H,10605,2026-08-11,2026-08-11,,,,
0917156,383,REAGAN,SIDEWINDER WEST C 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4303H,10605,2026-08-11,2026-08-13,,,,
0917158,383,REAGAN,SIDEWINDER WEST E 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4205H,10605,2026-08-11,2026-08-13,,,,
0917157,383,REAGAN,SIDEWINDER WEST E 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4405H,10605,2026-08-11,2026-08-14,,,,
0917159,383,REAGAN,SIDEWINDER WEST G 12-8,09,102879,2026-07-10,"DE CENTRAL OPERATING, LLC",4307H,10605,2026-08-11,2026-08-14,,,,
0917860,383,REAGAN,BODINE E2 09,09,101136,2026-08-12,"HANNATHON PETROLEUM II, LLC",9H,10000,2026-08-18,2026-08-20,,,,
0916932,383,REAGAN,DRIVER S27E,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",5H,10304,2026-08-05,2026-08-19,,,,
0916940,383,REAGAN,DRIVER S27Z,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",26H,10304,2026-08-05,2026-08-18,,,,
0917722,399,RUNNELS,EVANS,09,104417,2026-08-07,NODDING DONKEY RESOURCES LLC,3A,5000,2026-08-12,2026-08-14,,,,
0917402,479,WEBB,JUNCO RANCH,04,100543,2026-08-17,"RIO GRANDE E&P II, LLC",6H,14000,2026-07-29,2026-08-10,,,,
0917404,479,WEBB,JUNCO RANCH,04,100543,2026-08-17,"RIO GRANDE E&P II, LLC",7H,14000,2026-07-29,2026-08-14,,,,
