Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0910369,123,DEWITT,CARSON A,02,216378,2026-07-28,"DEVON ENERGY PRODUCTION CO, L.P.",14H,14000,2025-09-23,2025-11-13,29.2801302,-97.3764651,29.2586306,-97.3771389
0912688,135,ECTOR,MITSUBISHI 2291OP,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,1H,11400,2026-01-20,,32.0399123,-102.4993574,32.0089238,-102.4940748
0912692,135,ECTOR,MITSUBISHI 2295OP,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,3H,11400,2026-01-20,,32.039934,-102.499264,32.0098513,-102.4898341
0912694,135,ECTOR,MITSUBISHI 2297OP,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,4H,11400,2026-01-20,,32.0455789,-102.4922634,32.0108604,-102.4854901
0912696,135,ECTOR,MITSUBISHI 2299OP,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,5H,11400,2026-01-20,,32.0456007,-102.4921699,32.0118411,-102.4812673
0910864,235,IRION,DALLAS,09,197689,2026-07-24,DALLAS PRODUCTION COMPANY LLC,1009H,9000,2025-10-06,2025-10-08,31.1764141,-101.0721177,31.2063724,-101.0714646
0910865,235,IRION,DALLAS,09,197689,2026-07-24,DALLAS PRODUCTION COMPANY LLC,1010H,9000,2025-10-06,2025-10-08,31.1764151,-101.0720537,31.206598,-101.068883
0773388,389,REEVES,STEWART 30,10,101375,2026-07-17,"BLUE ARROW OPERATING, LLC",1H,16000,2013-11-19,2013-12-03,,,,
0915405,389,REEVES,STATE HIPPO E32,10,101377,2026-07-24,"VTX ENERGY OPERATING, LLC",32H,11000,2026-05-08,,,,,
0914456,405,SAN AUGUSTINE,HATCH 'A',06,103732,2026-06-30,ROCKCLIFF ENERGY OPERATING III,1HB,16000,2026-04-02,2026-04-10,,,,
0914902,461,UPTON,BILLY JOEL,09,100158,2026-07-24,ADMIRAL PERMIAN OPERATING LLC,2WB,10500,2026-05-06,,,,,
0912786,461,UPTON,BEVERLY 4726 E,09,101413,2026-07-01,FIREBIRD ENERGY II LLC,402H,8600,2026-02-20,2026-03-07,,,,
0912819,461,UPTON,BEVERLY 4726 F,09,101413,2026-07-01,FIREBIRD ENERGY II LLC,502H,9800,2026-02-20,2026-03-06,,,,
