Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0918180,089,COLORADO,"CULLEN, H. R. ET AL",03,824758,2026-08-25,"STRAND ENERGY, L.C.",14,12500,2026-08-31,,29.7793286,-96.549658,29.7791582,-96.5547987,True
0918118,103,CRANE,WADDELL TR A,10,073056,2026-08-24,"BLACKBEARD OPERATING, LLC",1536,7999,2026-08-31,,31.5236111,-102.6258333,,,False
0918013,123,DEWITT,W. BUTLER A,02,085408,2026-08-19,BPX OPERATING COMPANY,13H,13500,2026-08-31,,28.9898577,-97.69245,28.9990506,-97.7135393,False
0917982,127,DIMMIT,ROGERS DENTONIO 27U 104HZ,01,100351,2026-08-18,JAVELIN ENERGY PARTNERS MGMT LLC,104HZ,12000,2026-08-31,,28.3061264,-99.9387063,28.2699633,-99.9395496,False
0917950,127,DIMMIT,SAN PEDRO RANCH,01,104048,2026-08-18,JONAH ENERGY LLC,1205H,4500,2026-08-31,,28.3201228,-100.0349209,28.293997,-100.02486,False
0917535,203,HARRISON,BONNER NORTH A HS (AW),06,103925,2026-07-30,SABINE ENERGY INC.,1H,12000,2026-08-31,,32.4957445,-94.5196944,32.5366111,-94.5231278,False
0917574,255,KARNES,KIMBLE-G MALIK SA D,02,109333,2026-07-31,BURLINGTON RESOURCES O & G CO LP,1,17500,2026-08-31,,28.8774444,-97.8738639,28.8906583,-97.8917162,False
0918123,329,MIDLAND,SHACKELFORD 10-31V,10,665748,2026-08-24,"PIONEER NATURAL RES. USA, INC.",322H,10610,2026-08-31,,,,,,False
0918124,329,MIDLAND,SHACKELFORD 10-31W,10,665748,2026-08-24,"PIONEER NATURAL RES. USA, INC.",323H,10610,2026-08-31,,,,,,False
0918064,337,MONTAGUE,SALMON D & E,13,880393,2026-08-21,"V & H OIL, L.P.",53E,1999,2026-08-31,,,,,,True
0918066,337,MONTAGUE,SALMON D & E,13,880393,2026-08-21,"V & H OIL, L.P.",54E,1999,2026-08-31,,,,,,True
0918031,365,PANOLA,WYATT B CV (AW),06,103925,2026-08-20,SABINE ENERGY INC.,2H,12000,2026-08-31,,,,,,False
0918176,405,SAN AUGUSTINE,BLY-STARK,06,103913,2026-08-25,ADAMAS ENERGY LLC,1H,14600,2026-08-31,,,,,,False
0918177,405,SAN AUGUSTINE,BLY-STARK-RED RIVER 35 A,06,103913,2026-08-25,ADAMAS ENERGY LLC,1H,14600,2026-08-31,,,,,,False
0918178,405,SAN AUGUSTINE,BLY-STARK-RED RIVER 35 B,06,103913,2026-08-25,ADAMAS ENERGY LLC,2H,14600,2026-08-31,,,,,,False
0918179,405,SAN AUGUSTINE,BLY-STARK-RED RIVER 35 C,06,103913,2026-08-25,ADAMAS ENERGY LLC,3H,14600,2026-08-31,,,,,,False
0918207,441,TAYLOR,KISSELL UNIT,08,479574,2026-08-26,L.C.S. PRODUCTION COMPANY,26WI,4999,2026-08-31,,,,,,False
0918144,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-24,AETHON ENERGY OPERATING LLC,128,2000,2026-08-31,,,,,,False
0918157,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-25,AETHON ENERGY OPERATING LLC,525,2000,2026-08-31,,,,,,False
0918160,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-25,AETHON ENERGY OPERATING LLC,526,2000,2026-08-31,,,,,,False
0918165,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-25,AETHON ENERGY OPERATING LLC,528,2000,2026-08-31,,,,,,False
0918166,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-25,AETHON ENERGY OPERATING LLC,529,2000,2026-08-31,,,,,,False
0918197,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-26,AETHON ENERGY OPERATING LLC,629,2000,2026-08-31,,,,,,False
0918198,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-26,AETHON ENERGY OPERATING LLC,630,2000,2026-08-31,,,,,,False
0918223,477,WASHINGTON,CLAY CREEK EAST UNIT,03,008555,2026-08-26,AETHON ENERGY OPERATING LLC,631,2000,2026-08-31,,,,,,False
0918015,479,WEBB,PUIG NEEL F (EF),04,460054,2026-08-19,"KILLAM OIL CO., LTD.",6H,12500,2026-08-31,,,,,,False
