Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0916751,317,MARTIN,STANTON 28-16 G,10,217012,2026-06-26,DIAMONDBACK E&P LLC,1LS,12500,2026-08-11,2026-08-29,,,,
0916752,317,MARTIN,STANTON 28-16 G,10,217012,2026-06-26,DIAMONDBACK E&P LLC,1WB,12500,2026-08-11,2026-08-31,,,,
0916742,317,MARTIN,STANTON 28-16 H,10,217012,2026-06-25,DIAMONDBACK E&P LLC,3WA,12500,2026-08-11,2026-08-30,,,,
0916755,317,MARTIN,STANTON 28-16 J,10,217012,2026-06-26,DIAMONDBACK E&P LLC,3LS,12500,2026-08-11,2026-08-31,,,,
0916757,317,MARTIN,STANTON 28-16 J,10,217012,2026-06-26,DIAMONDBACK E&P LLC,3WB,12500,2026-08-11,2026-08-29,,,,
0917118,329,MIDLAND,BROOKS-CRESPI 30M,10,665748,2026-07-09,"PIONEER NATURAL RES. USA, INC.",13H,10424,2026-08-11,2026-08-30,,,,
0917123,329,MIDLAND,BROOKS-CRESPI 30N,10,665748,2026-07-09,"PIONEER NATURAL RES. USA, INC.",14H,10424,2026-08-12,2026-08-30,,,,
